동_key,구명,동명,65세이상인구,고령화율,복지_일반인,복지_일반노인,복지_보조기기,복지_보조하위15p,공원_일반인,공원_일반노인,공원_보조기기,공원_보조하위15p,복지_속도격차,공원_속도격차,복지_박탈노인,공원_박탈노인,vulnerability_v2,tobler_ratio,복지_일반노인보정,공원_일반노인보정,복지_보조기기보정,공원_보조기기보정,복지_보조하위15p보정,공원_보조하위15p보정
종로구_사직동,종로구,사직동,1984,21.71,3,3,1,0,7,6,4,4,3,3,1984,0,0.0953,0.687165,0,4,0,4,0,3
종로구_삼청동,종로구,삼청동,641,27.24,1,1,0,0,6,4,2,1,1,5,641,0,0.0308,0.452223,0,1,0,1,0,0
종로구_부암동,종로구,부암동,2046,22.31,0,0,0,0,2,1,0,0,0,2,2046,2046,0.1969,0.589145,0,0,0,0,0,0
종로구_평창동,종로구,평창동,4048,23.44,0,0,0,0,0,0,0,0,0,0,4048,4048,0.3896,0.514265,0,0,0,0,0,0
종로구_무악동,종로구,무악동,1602,20.77,3,3,1,1,4,3,2,2,2,2,0,0,0.0,0.393315,0,0,0,0,0,0
종로구_교남동,종로구,교남동,1802,18.79,6,3,2,2,6,5,3,3,4,3,0,0,0.0,0.642078,2,3,2,1,0,0
종로구_가회동,종로구,가회동,914,24.61,2,1,1,1,5,5,4,0,1,5,0,914,0.0441,0.735275,1,2,1,0,1,0
종로구_종로1·2·3·4가동,종로구,종로1·2·3·4가동,1900,22.02,4,3,2,2,8,5,2,1,2,7,0,0,0.0,0.855827,2,3,2,2,1,1
종로구_종로5·6가동,종로구,종로5·6가동,1145,19.03,7,5,3,3,5,5,3,3,4,2,0,0,0.0,0.90753,4,5,3,3,3,3
종로구_이화동,종로구,이화동,1496,19.67,6,6,3,3,7,4,2,2,3,5,0,0,0.0,0.722497,3,2,3,2,1,2
종로구_창신1동,종로구,창신1동,1387,25.71,11,9,4,3,4,4,3,1,8,3,0,0,0.0,0.920595,7,4,4,3,2,1
종로구_창신2동,종로구,창신2동,2079,24.59,8,6,3,2,4,4,4,2,6,2,0,0,0.0,0.529991,2,2,1,1,1,0
종로구_창신3동,종로구,창신3동,1483,23.34,7,6,4,3,4,4,3,2,4,2,0,0,0.0,0.53983,0,2,0,1,0,1
종로구_숭인1동,종로구,숭인1동,1390,22.91,7,6,4,2,4,3,2,1,5,3,0,0,0.0,0.697398,3,2,2,1,1,1
종로구_숭인2동,종로구,숭인2동,1913,16.72,8,6,4,3,4,4,1,1,5,3,0,0,0.0,0.840133,4,1,3,1,1,1
종로구_청운효자동,종로구,청운효자동,2288,20.8,1,0,0,0,7,4,3,0,1,7,2288,2288,0.2202,0.547954,0,0,0,0,0,0
종로구_혜화동,종로구,혜화동,2840,15.03,4,3,0,0,5,5,3,2,4,3,2840,0,0.1364,0.650808,0,2,0,1,0,0
중구_소공동,중구,소공동,344,9.77,8,7,1,0,6,5,3,0,8,6,344,344,0.0331,0.927818,6,4,1,3,0,0
중구_회현동,중구,회현동,1407,29.47,6,4,1,1,6,2,0,0,5,6,0,1407,0.0678,0.646366,1,0,1,0,1,0
중구_명동,중구,명동,799,23.58,4,2,1,0,5,4,1,1,4,4,799,0,0.0384,0.815334,1,1,0,1,0,0
중구_필동,중구,필동,973,18.38,2,1,0,0,3,2,0,0,2,3,973,973,0.0937,0.540007,0,0,0,0,0,0
중구_장충동,중구,장충동,967,17.82,3,3,3,1,4,1,1,0,2,4,0,967,0.0466,0.478933,0,0,0,0,0,0
중구_광희동,중구,광희동,1271,18.02,8,6,3,1,5,3,1,1,7,4,0,0,0.0,0.937479,5,3,2,1,1,1
중구_을지로동,중구,을지로동,524,15.59,5,5,1,1,3,3,2,2,4,1,0,0,0.0,0.961499,5,3,1,2,1,2
중구_신당5동,중구,신당5동,2131,20.72,11,8,6,4,4,4,1,1,7,3,0,0,0.0,0.692198,5,1,3,1,2,0
중구_황학동,중구,황학동,2407,17.18,11,7,5,3,4,3,2,1,8,3,0,0,0.0,0.936794,7,3,4,1,3,0
중구_중림동,중구,중림동,2321,19.02,9,9,5,4,3,1,1,1,5,2,0,0,0.0,0.73549,5,1,4,1,2,1
중구_신당동,중구,신당동,1774,19.98,11,9,6,4,6,3,2,1,7,5,0,0,0.0,0.927286,9,3,5,1,2,1
중구_다산동,중구,다산동,3223,23.91,6,4,3,3,4,3,1,0,3,4,0,3223,0.1554,0.666281,3,0,3,0,2,0
중구_약수동,중구,약수동,4400,27.53,5,5,4,1,3,3,1,1,4,2,0,0,0.0,0.536078,1,1,0,0,0,0
중구_청구동,중구,청구동,2705,24.78,9,7,6,3,3,3,2,1,6,2,0,0,0.0,0.624212,3,1,2,1,1,1
중구_동화동,중구,동화동,2377,24.08,10,9,8,3,4,3,2,1,7,3,0,0,0.0,0.753324,6,2,3,1,2,1
용산구_후암동,용산구,후암동,3340,20.74,2,2,1,1,2,1,1,0,1,2,0,3340,0.161,0.574509,1,0,1,0,1,0
용산구_용산2가동,용산구,용산2가동,2180,22.07,2,2,0,0,0,0,0,0,2,0,2180,2180,0.2098,0.600382,0,0,0,0,0,0
용산구_남영동,용산구,남영동,1705,22.75,7,6,4,2,3,3,1,0,5,3,0,1705,0.0822,0.941375,5,2,2,1,2,0
용산구_원효로2동,용산구,원효로2동,2622,19.39,8,6,6,2,1,0,0,0,6,1,0,2622,0.1264,0.813952,6,0,2,0,2,0
용산구_효창동,용산구,효창동,1727,16.37,12,9,5,4,2,2,1,1,8,1,0,0,0.0,0.774499,5,1,4,1,0,1
용산구_용문동,용산구,용문동,2436,21.81,10,8,4,3,1,1,1,1,7,0,0,0,0.0,0.754079,4,1,3,1,3,0
용산구_이촌1동,용산구,이촌1동,4767,18.77,3,2,1,1,1,1,0,0,2,1,0,4767,0.2298,0.967541,1,0,1,0,1,0
용산구_이촌2동,용산구,이촌2동,1930,24.8,3,2,2,2,0,0,0,0,1,0,0,1930,0.093,0.954343,2,0,2,0,1,0
용산구_이태원1동,용산구,이태원1동,1504,20.48,3,2,2,0,0,0,0,0,3,0,1504,1504,0.1448,0.692263,0,0,0,0,0,0
용산구_이태원2동,용산구,이태원2동,1863,18.82,2,0,0,0,1,1,1,0,2,1,1863,1863,0.1793,0.544286,0,0,0,0,0,0
용산구_서빙고동,용산구,서빙고동,2413,18.86,2,1,1,0,1,1,1,1,2,0,2413,0,0.1159,0.904937,1,1,1,1,0,1
용산구_보광동,용산구,보광동,1724,22.84,2,2,2,2,0,0,0,0,0,0,0,1724,0.0831,0.795509,2,0,2,0,1,0
용산구_청파동,용산구,청파동,3618,18.48,12,9,4,3,2,2,2,2,9,0,0,0,0.0,0.799617,5,2,3,2,1,1
용산구_원효로1동,용산구,원효로1동,2276,12.82,9,6,4,2,1,1,1,0,7,1,0,2276,0.1097,0.860621,4,1,3,1,1,0
용산구_한강로동,용산구,한강로동,3570,15.78,6,6,3,2,0,0,0,0,4,0,0,3570,0.1721,0.945171,5,0,3,0,2,0
용산구_한남동,용산구,한남동,2795,17.98,2,1,1,1,0,0,0,0,1,0,0,2795,0.1347,0.710992,1,0,1,0,0,0
성동구_왕십리2동,성동구,왕십리2동,2984,18.51,9,7,4,2,3,1,1,1,7,2,0,0,0.0,0.735742,3,1,2,1,1,0
성동구_마장동,성동구,마장동,4514,20.11,5,4,3,2,2,2,2,1,3,1,0,0,0.0,0.865726,3,2,2,2,1,1
성동구_사근동,성동구,사근동,1646,11.65,3,2,1,1,3,1,0,0,2,3,0,1646,0.0793,0.848523,1,0,1,0,1,0
성동구_행당1동,성동구,행당1동,2669,16.91,7,5,3,3,3,2,0,0,4,3,0,2669,0.1287,0.888411,5,1,3,0,2,0
성동구_행당2동,성동구,행당2동,4457,19.81,7,7,3,1,2,2,1,1,6,1,0,0,0.0,0.635879,1,1,1,0,0,0
성동구_응봉동,성동구,응봉동,2697,18.58,6,4,2,2,4,3,1,0,4,4,0,2697,0.13,0.670236,2,0,1,0,0,0
성동구_금호1가동,성동구,금호1가동,3070,21.38,7,6,4,3,3,3,2,2,4,1,0,0,0.0,0.646686,3,2,3,1,2,0
성동구_금호4가동,성동구,금호4가동,2883,20.52,5,3,2,2,4,4,2,1,3,3,0,0,0.0,0.732545,2,2,2,1,2,1
성동구_성수1가1동,성동구,성수1가1동,2742,18.05,0,0,0,0,2,2,1,1,0,1,2742,0,0.1317,0.938439,0,2,0,1,0,1
성동구_성수1가2동,성동구,성수1가2동,2448,17.7,1,1,0,0,2,2,2,2,1,0,2448,0,0.1176,0.930082,0,2,0,2,0,2
성동구_성수2가1동,성동구,성수2가1동,3292,23.15,0,0,0,0,2,2,1,1,0,1,3292,0,0.1582,0.938497,0,2,0,1,0,1
성동구_성수2가3동,성동구,성수2가3동,2006,20.5,1,1,0,0,2,1,1,1,1,1,2006,0,0.0964,0.945594,0,1,0,1,0,1
성동구_송정동,성동구,송정동,2050,21.35,1,1,1,1,2,2,0,0,0,2,0,2050,0.0988,0.947011,1,1,1,0,1,0
