구명,점수_노인_경사X,점수_노인_경사O,점수_보행보조_경사X,점수_보행보조_경사O,점수_하위15_경사X,점수_하위15_경사O
강남구,68.6,55.1,45.8,30.8,28.8,20.2
강동구,76.0,54.5,45.2,33.4,18.7,14.8
강북구,72.9,37.5,37.4,25.3,20.2,18.0
강서구,77.9,61.3,52.3,41.1,34.0,21.0
관악구,71.1,28.5,29.0,16.5,18.1,8.9
광진구,74.1,58.1,51.9,46.1,37.8,35.0
구로구,78.3,49.6,45.8,25.9,20.8,16.9
금천구,82.7,50.7,59.2,31.3,37.8,20.8
노원구,75.9,47.4,40.4,22.4,21.5,17.1
도봉구,76.4,58.4,50.9,37.9,33.7,24.6
동대문구,71.9,53.4,36.8,27.1,21.7,17.8
동작구,82.5,53.9,59.0,40.0,41.2,25.3
마포구,70.3,49.0,39.7,31.6,25.6,15.3
서대문구,75.6,38.9,47.8,19.6,30.2,12.5
서초구,84.1,45.7,41.3,15.9,20.3,8.6
성동구,77.8,49.9,44.7,33.7,35.7,23.7
성북구,69.9,40.8,40.9,20.9,27.9,8.1
송파구,80.7,71.0,42.6,37.4,33.1,28.6
양천구,81.7,64.0,48.5,39.4,30.1,26.7
영등포구,75.6,67.4,41.6,38.1,26.8,20.1
용산구,74.9,46.4,50.4,36.5,31.5,18.8
은평구,75.8,30.5,47.7,20.5,25.0,14.8
종로구,77.6,33.0,43.3,22.5,28.4,12.9
중구,75.2,42.4,41.0,21.9,22.3,13.0
중랑구,76.8,50.1,51.6,28.2,29.4,13.9
