acdnt_no,serial_no,acdnt_year,acdnt_dd_dc,dfk_dc,tmzon_div_1_dc,occrrnc_time_dc,x_crdnt,y_crdnt,legaldong_code,legaldong_name,acdnt_hdc,acdnt_dc,road_stle_dc,acdnt_gae_dc,acdnt_age_2_dc,dmge_vhcle_asort_dc,injury_dgree_2_dc,wrngdo_vhcle_asort_dc,lrg_violt_1_dc,wether_sttus_dc,rdse_sttus_dc,dprs_cnt,sep_cnt,slp_cnt,lat,lon
2024010100100082,2024000078,2024,2024년  1월,월요일,주간,09시,959349.0,1956657.0,1129013600,서울특별시 성북구,차대사람,차대사람 - 차도통행중,교차로 - 교차로부근,중상사고,65세 이상,보행자,중상,승용,안전운전불이행,맑음, 건조,0,1,0,37.60844214482204,127.03942980783539
2024010100100205,2024000193,2024,2024년  1월,월요일,주간,17시,968451.0,1949109.0,1174010500,서울특별시 강동구,차대사람,차대사람 - 횡단중,교차로 - 교차로횡단보도내,중상사고,65세 이상,보행자,중상,승용,보행자보호의무위반,맑음, 건조,0,1,0,37.540766578847474,127.14287714043193
2024010100100256,2024000243,2024,2024년  1월,월요일,야간,19시,956546.0,1951978.0,1114014800,서울특별시 중구,차대사람,차대사람 - 횡단중,교차로 - 교차로횡단보도내,중상사고,65세 이상,보행자,중상,승용,안전운전불이행,맑음, 건조,0,1,0,37.56614117340128,127.00795094036336
2024010200100133,2024000450,2024,2024년  1월,화요일,주간,10시,961751.0,1952124.0,1123010600,서울특별시 동대문구,차대사람,차대사람 - 기타,교차로 - 교차로안,경상사고,65세 이상,보행자,경상,화물,안전운전불이행,맑음, 건조,0,0,1,37.56768804499736,127.0668802139145
2024010200100249,2024000557,2024,2024년  1월,화요일,주간,15시,960451.0,1952119.0,1123010500,서울특별시 동대문구,차대사람,차대사람 - 보도통행중,단일로 - 기타,경상사고,65세 이상,보행자,경상,승용,기타,맑음, 건조,0,0,1,37.56758805561293,127.05216009309461
2024010200100250,2024000558,2024,2024년  1월,화요일,주간,15시,947023.0,1939806.0,1154510300,서울특별시 금천구,차대사람,차대사람 - 보도통행중,단일로 - 기타,경상사고,65세 이상,보행자,경상,기타불명,안전운전불이행,맑음, 건조,0,0,1,37.45593438636787,126.90100006697944
2024010300100146,2024000894,2024,2024년  1월,수요일,주간,11시,962307.0,1958516.0,1135010300,서울특별시 노원구,차대사람,차대사람 - 보도통행중,기타 - 기타,중상사고,65세 이상,보행자,중상,화물,기타,맑음, 건조,0,1,0,37.6253237841934,127.07284680715941
2024010300100170,2024000918,2024,2024년  1월,수요일,주간,12시,960502.0,1954307.0,1123010700,서울특별시 동대문구,차대사람,차대사람 - 기타,기타 - 기타,중상사고,65세 이상,보행자,중상,승용,안전운전불이행,맑음, 건조,0,1,0,37.587311285704544,127.05261960737774
2024010300100171,2024000919,2024,2024년  1월,수요일,주간,12시,958193.0,1944585.0,1168010100,서울특별시 강남구,차대사람,차대사람 - 기타,기타 - 기타,중상사고,65세 이상,보행자,중상,승합,안전운전불이행,맑음, 건조,0,1,0,37.49958203991393,127.02702106767879
2024010300100331,2024001073,2024,2024년  1월,수요일,야간,18시,947937.0,1945221.0,1156013200,서울특별시 영등포구,차대사람,차대사람 - 기타,단일로 - 기타,경상사고,65세 이상,보행자,경상,승용,안전운전불이행,맑음, 건조,0,0,1,37.5047928968589,126.91095095747926
