시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자
서울특별시,동작구,보라매로,서울특별시 동작구 보라매로 76,서울특별시 동작구 신대방동 342-39,06-0000032161,1,N,N,37.49621583,126.9279296,2,3.3,10.5,N,N,N,,,N,Y,Y,N,서울특별시 동작구청,02-820-1522,2026-03-06
서울특별시,동작구,보라매로,서울특별시 동작구 보라매로 77,서울특별시 동작구 신대방동 344-23,06-0000032160,1,N,Y,37.49629147,126.9274118,1,1.5,7.8,N,N,N,,,N,Y,Y,N,서울특별시 동작구청,02-820-1522,2026-03-06
서울특별시,동작구,보라매로,서울특별시 동작구 보라매로 82,서울특별시 동작구 신대방동 342-21,06-0000035495,1,N,N,37.49668419,126.9279538,4,7.6,19,Y,N,Y,32,118,N,Y,Y,Y,서울특별시 동작구청,02-820-1522,2026-03-06
서울특별시,동작구,보라매로,서울특별시 동작구 보라매로 85,서울특별시 동작구 신대방동 344-249,06-0000032158,1,N,Y,37.4969832,126.9275985,1,2,8.3,N,N,N,,,N,Y,Y,N,서울특별시 동작구청,02-820-1522,2026-03-06
서울특별시,동작구,보라매로,서울특별시 동작구 보라매로 86,서울특별시 동작구 신대방동 342-10,06-0000049240,1,N,N,37.49685491,126.9280833,1,2.5,4,N,N,N,,,N,Y,Y,N,서울특별시 동작구청,02-820-1522,2026-03-06
서울특별시,동작구,보라매로,서울특별시 동작구 보라매로 85,서울특별시 동작구 신대방동 344-249,06-0000049198,1,N,Y,37.4969832,126.9275985,2,2.5,8,N,N,N,,,N,Y,Y,N,서울특별시 동작구청,02-820-1522,2026-03-06
서울특별시,동작구,보라매로,서울특별시 동작구 보라매로 91,서울특별시 동작구 신대방동 344-15,06-0000032159,1,N,Y,37.4975333,126.9276673,1,1.8,6.1,N,N,N,,,N,Y,Y,N,서울특별시 동작구청,02-820-1522,2026-03-06
서울특별시,동작구,보라매로,서울특별시 동작구 보라매로 98-1,서울특별시 동작구 신대방동 346-10,06-0000049241,1,N,N,37.49808946,126.9283545,1,2.5,3.6,N,N,N,,,N,Y,Y,N,서울특별시 동작구청,02-820-1522,2026-03-06
서울특별시,동작구,보라매로,서울특별시 동작구 보라매로 104,서울특별시 동작구 신대방동 348-3,06-0000006449,1,N,N,37.49841377,126.9283123,6,8.9,19.5,Y,N,Y,27,113,N,Y,Y,Y,서울특별시 동작구청,02-820-1522,2026-03-06
서울특별시,동작구,보라매로,서울특별시 동작구 보라매로 95-2,서울특별시 동작구 신대방동 345-6,06-0000006448,1,N,N,37.49793187,126.9279051,2,4.7,15.4,Y,N,Y,27,77,N,Y,Y,Y,서울특별시 동작구청,02-820-1522,2026-03-06
