"동별(1)",동별(2),동별(3),2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006
"동별(1)",동별(2),동별(3),금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관
"동별(1)",동별(2),동별(3),소계,한국은행,시중은행,시중은행,시중은행,시중은행,시중은행,시중은행,시중은행,지방은행,특수은행,특수은행,특수은행,특수은행,기타,기타
"동별(1)",동별(2),동별(3),소계,소계,우리은행,SC제일은행,KB국민은행,한국외한은행,신한은행,한국씨티은행,KEB하나은행,소계,IBK기업은행,NH농협은행,수협은행,KDB산업은행,한국수출입은행,외국은행
"합계",소계,소계,2558,2,412,205,458,142,481,103,308,16,176,154,51,12,1,37
"합계",종로구,소계,154,-,23,12,29,11,25,4,14,1,8,11,1,1,-,14
"합계",종로구,효자동,3,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-
"합계",종로구,사직동,22,-,2,-,3,3,3,2,2,-,-,4,-,-,-,3
"합계",종로구,삼청동,2,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",종로구,부암동,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
"합계",종로구,평창동,5,-,1,-,2,1,-,-,1,-,-,-,-,-,-,-
"합계",종로구,무악동,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
"합계",종로구,교남동,2,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
"합계",종로구,가회동,5,-,1,-,-,1,2,-,-,-,-,-,1,-,-,-
"합계",종로구,종로1.2.3.4가동,67,-,8,6,16,4,8,1,4,1,3,4,-,1,-,11
"합계",종로구,종로5.6가동,16,-,3,3,1,1,3,1,3,-,1,-,-,-,-,-
"합계",종로구,이화동,7,-,-,-,1,-,4,-,-,-,1,1,-,-,-,-
"합계",종로구,혜화동,4,-,1,-,1,-,1,-,1,-,-,-,-,-,-,-
"합계",종로구,명륜3가동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",종로구,창신1동,8,-,1,2,2,-,2,-,-,-,1,-,-,-,-,-
"합계",종로구,창신2동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",종로구,숭인1동,8,-,1,-,-,1,1,-,2,-,1,2,-,-,-,-
"합계",중구,소계,241,1,36,15,38,11,51,9,25,4,14,10,5,-,-,22
"합계",중구,소공동,47,1,5,3,9,2,11,1,5,2,1,2,-,-,-,5
"합계",중구,회현동,34,-,7,3,4,3,6,1,3,-,2,2,-,-,-,3
"합계",중구,명동,82,-,8,4,8,4,18,6,10,2,4,2,2,-,-,14
"합계",중구,필동,13,-,3,2,1,-,5,-,1,-,-,1,-,-,-,-
"합계",중구,장충동,3,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-
"합계",중구,광희동,18,-,3,2,4,1,1,-,2,-,3,1,1,-,-,-
"합계",중구,을지로동,19,-,3,1,6,-,5,1,1,-,1,1,-,-,-,-
"합계",중구,신당1동,15,-,4,-,4,1,3,-,-,-,1,-,2,-,-,-
"합계",중구,신당3동,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
