"동별(1)","동별(2)",항목,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4
"동별(1)","동별(2)",항목,65~69세,70~74세,75~79세,80~84세,85~89세,65~69세,70~74세,75~79세,80~84세,85~89세
"합계","소계",계,650943,470652,348157,242218,126645,655487,478390,353170,240530,128121
"합계","소계",한국인,643456,467429,347010,241767,126352,648113,475221,352044,240084,127827
"합계","소계",등록외국인,7487,3223,1147,451,293,7374,3169,1126,446,294
"종로구","소계",계,9994,7071,5426,4385,2555,10138,7188,5475,4316,2588
"종로구","소계",한국인,9828,7010,5386,4369,2547,9975,7126,5437,4300,2580
"종로구","소계",등록외국인,166,61,40,16,8,163,62,38,16,8
"종로구","청운효자동",계,677,511,412,368,208,667,517,426,365,211
"종로구","청운효자동",한국인,670,507,409,366,208,663,513,423,363,211
"종로구","청운효자동",등록외국인,7,4,3,2,-,4,4,3,2,-
"종로구","사직동",계,613,397,339,291,208,623,411,342,290,205
"종로구","사직동",한국인,601,395,337,291,208,613,409,340,290,205
"종로구","사직동",등록외국인,12,2,2,-,-,10,2,2,-,-
"종로구","삼청동",계,194,142,125,95,54,193,145,124,96,51
"종로구","삼청동",한국인,184,137,118,93,53,182,140,117,94,50
"종로구","삼청동",등록외국인,10,5,7,2,1,11,5,7,2,1
"종로구","부암동",계,654,453,371,281,179,665,464,377,268,178
"종로구","부암동",한국인,651,449,370,281,179,661,460,376,268,178
"종로구","부암동",등록외국인,3,4,1,-,-,4,4,1,-,-
"종로구","평창동",계,1351,915,659,501,372,1370,911,658,502,375
"종로구","평창동",한국인,1341,909,658,499,369,1361,904,658,500,372
"종로구","평창동",등록외국인,10,6,1,2,3,9,7,-,2,3
"종로구","무악동",계,499,375,277,236,146,504,377,277,241,146
"종로구","무악동",한국인,498,375,277,236,146,503,377,277,241,146
"종로구","무악동",등록외국인,1,-,-,-,-,1,-,-,-,-
"종로구","교남동",계,569,424,349,240,141,585,427,353,239,139
"종로구","교남동",한국인,564,424,347,239,141,580,427,351,238,139
"종로구","교남동",등록외국인,5,-,2,1,-,5,-,2,1,-
"종로구","가회동",계,266,210,174,145,77,271,212,177,142,76
"종로구","가회동",한국인,262,209,172,145,77,267,211,175,142,76
"종로구","가회동",등록외국인,4,1,2,-,-,4,1,2,-,-
"종로구","종로1.2.3.4가동",계,664,470,314,271,116,669,482,311,262,123
"종로구","종로1.2.3.4가동",한국인,636,462,310,266,115,639,474,308,257,122
"종로구","종로1.2.3.4가동",등록외국인,28,8,4,5,1,30,8,3,5,1
"종로구","종로5.6가동",계,376,240,217,183,82,387,244,216,175,84
"종로구","종로5.6가동",한국인,370,237,216,183,82,381,241,215,175,84
"종로구","종로5.6가동",등록외국인,6,3,1,-,-,6,3,1,-,-
"종로구","이화동",계,436,358,256,218,142,456,362,262,213,144
"종로구","이화동",한국인,433,354,256,218,142,453,358,262,213,144
"종로구","이화동",등록외국인,3,4,-,-,-,3,4,-,-,-
"종로구","혜화동",계,770,608,526,494,280,786,612,534,493,280
"종로구","혜화동",한국인,763,606,524,494,280,779,610,532,493,280
"종로구","혜화동",등록외국인,7,2,2,-,-,7,2,2,-,-
"종로구","창신1동",계,529,327,219,163,100,535,330,225,158,105
"종로구","창신1동",한국인,512,322,218,163,100,518,325,224,158,105
"종로구","창신1동",등록외국인,17,5,1,-,-,17,5,1,-,-
"종로구","창신2동",계,728,487,361,275,139,746,501,363,267,144
"종로구","창신2동",한국인,702,479,353,271,137,720,493,355,263,142
"종로구","창신2동",등록외국인,26,8,8,4,2,26,8,8,4,2
"종로구","창신3동",계,520,340,242,202,94,537,356,241,193,103
"종로구","창신3동",한국인,519,338,241,202,93,536,354,240,193,102
"종로구","창신3동",등록외국인,1,2,1,-,1,1,2,1,-,1
"종로구","숭인1동",계,458,344,257,185,101,460,350,255,178,98
"종로구","숭인1동",한국인,450,340,255,185,101,452,346,253,178,98
"종로구","숭인1동",등록외국인,8,4,2,-,-,8,4,2,-,-
"종로구","숭인2동",계,690,470,328,237,116,684,487,334,234,126
"종로구","숭인2동",한국인,672,467,325,237,116,667,484,331,234,126
"종로구","숭인2동",등록외국인,18,3,3,-,-,17,3,3,-,-
"중구","소계",계,9055,6534,4952,3770,2110,9107,6614,5000,3738,2127
"중구","소계",한국인,8818,6417,4898,3741,2090,8876,6494,4947,3707,2108
"중구","소계",등록외국인,237,117,54,29,20,231,120,53,31,19
"중구","소공동",계,139,73,57,37,23,137,76,60,38,22
"중구","소공동",한국인,108,66,51,31,20,107,69,54,31,19
"중구","소공동",등록외국인,31,7,6,6,3,30,7,6,7,3
"중구","회현동",계,475,379,244,175,95,451,373,238,182,99
"중구","회현동",한국인,442,352,233,169,92,417,347,229,176,96
"중구","회현동",등록외국인,33,27,11,6,3,34,26,9,6,3
"중구","명동",계,283,194,130,108,51,272,193,132,112,54
"중구","명동",한국인,251,177,125,104,51,241,176,126,108,54
"중구","명동",등록외국인,32,17,5,4,-,31,17,6,4,-
"중구","필동",계,326,219,154,130,71,327,228,160,120,77
"중구","필동",한국인,321,218,154,130,70,322,227,160,120,76
"중구","필동",등록외국인,5,1,-,-,1,5,1,-,-,1
"중구","장충동",계,275,226,194,146,87,273,227,197,146,89
"중구","장충동",한국인,267,218,194,145,86,266,219,197,145,88
"중구","장충동",등록외국인,8,8,-,1,1,7,8,-,1,1
"중구","광희동",계,446,320,217,179,89,432,313,227,174,89
"중구","광희동",한국인,425,309,213,176,86,413,302,223,171,86
"중구","광희동",등록외국인,21,11,4,3,3,19,11,4,3,3
"중구","을지로동",계,180,140,87,64,41,181,144,84,63,40
"중구","을지로동",한국인,174,135,86,64,40,176,139,83,63,39
"중구","을지로동",등록외국인,6,5,1,-,1,5,5,1,-,1
"중구","신당동",계,588,419,327,258,108,596,432,321,252,111
"중구","신당동",한국인,561,414,319,255,108,571,425,312,248,111
"중구","신당동",등록외국인,27,5,8,3,-,25,7,9,4,-
"중구","다산동",계,1058,747,564,466,232,1084,766,562,471,228
"중구","다산동",한국인,1049,742,562,464,232,1075,761,560,469,228
"중구","다산동",등록외국인,9,5,2,2,-,9,5,2,2,-
"중구","약수동",계,1309,1037,804,607,415,1321,1054,820,597,411
"중구","약수동",한국인,1305,1028,803,607,414,1316,1045,819,597,410
"중구","약수동",등록외국인,4,9,1,-,1,5,9,1,-,1
"중구","청구동",계,862,639,481,369,246,878,632,490,368,246
"중구","청구동",한국인,858,639,480,369,246,874,632,489,368,246
"중구","청구동",등록외국인,4,-,1,-,-,4,-,1,-,-
"중구","신당5동",계,710,490,400,294,136,727,489,411,293,143
"중구","신당5동",한국인,702,489,396,292,136,719,488,407,291,143
"중구","신당5동",등록외국인,8,1,4,2,-,8,1,4,2,-
"중구","동화동",계,816,535,404,300,201,835,543,417,294,197
"중구","동화동",한국인,808,533,402,299,200,827,541,415,293,196
"중구","동화동",등록외국인,8,2,2,1,1,8,2,2,1,1
"중구","황학동",계,830,593,438,320,130,840,610,432,323,132
"중구","황학동",한국인,797,581,432,320,127,806,596,427,323,129
"중구","황학동",등록외국인,33,12,6,-,3,34,14,5,-,3
"중구","중림동",계,758,523,451,317,185,753,534,449,305,189
"중구","중림동",한국인,750,516,448,316,182,746,527,446,304,187
"중구","중림동",등록외국인,8,7,3,1,3,7,7,3,1,2
"용산구","소계",계,13678,9338,6926,5408,3372,13723,9440,6995,5297,3372
"용산구","소계",한국인,13407,9195,6839,5372,3348,13460,9301,6910,5260,3348
"용산구","소계",등록외국인,271,143,87,36,24,263,139,85,37,24
"용산구","후암동",계,1126,810,558,456,276,1129,819,568,448,267
"용산구","후암동",한국인,1108,801,554,452,274,1112,810,564,444,264
"용산구","후암동",등록외국인,18,9,4,4,2,17,9,4,4,3
"용산구","용산2가동",계,693,500,417,310,185,692,503,418,304,180
"용산구","용산2가동",한국인,665,490,413,308,182,666,494,414,302,178
"용산구","용산2가동",등록외국인,28,10,4,2,3,26,9,4,2,2
"용산구","남영동",계,677,416,253,191,111,681,428,254,184,114
"용산구","남영동",한국인,662,409,253,188,110,666,421,254,181,112
"용산구","남영동",등록외국인,15,7,-,3,1,15,7,-,3,2
"용산구","청파동",계,1189,857,644,521,273,1208,859,653,504,281
"용산구","청파동",한국인,1172,851,639,520,273,1190,853,648,503,281
"용산구","청파동",등록외국인,17,6,5,1,-,18,6,5,1,-
"용산구","원효로1동",계,835,555,390,273,135,824,562,402,269,141
"용산구","원효로1동",한국인,824,546,384,269,133,813,552,396,265,139
"용산구","원효로1동",등록외국인,11,9,6,4,2,11,10,6,4,2
"용산구","원효로2동",계,887,593,460,335,235,890,593,469,331,229
"용산구","원효로2동",한국인,883,593,460,334,235,886,593,469,330,229
"용산구","원효로2동",등록외국인,4,-,-,1,-,4,-,-,1,-
"용산구","효창동",계,560,368,303,255,144,574,370,313,247,147
"용산구","효창동",한국인,560,366,302,254,144,574,369,312,246,147
"용산구","효창동",등록외국인,-,2,1,1,-,-,1,1,1,-
"용산구","용문동",계,763,581,468,335,206,779,583,478,332,198
"용산구","용문동",한국인,761,579,468,334,205,777,581,478,331,197
"용산구","용문동",등록외국인,2,2,-,1,1,2,2,-,1,1
"용산구","한강로동",계,1319,831,586,426,266,1317,841,592,422,268
"용산구","한강로동",한국인,1275,806,564,421,264,1274,816,571,417,266
"용산구","한강로동",등록외국인,44,25,22,5,2,43,25,21,5,2
"용산구","이촌1동",계,1523,991,753,672,503,1535,1012,755,666,504
"용산구","이촌1동",한국인,1504,978,742,671,499,1517,999,745,665,500
"용산구","이촌1동",등록외국인,19,13,11,1,4,18,13,10,1,4
"용산구","이촌2동",계,663,448,341,269,138,655,456,341,261,142
"용산구","이촌2동",한국인,660,447,339,269,138,652,455,339,261,142
"용산구","이촌2동",등록외국인,3,1,2,-,-,3,1,2,-,-
"용산구","이태원1동",계,497,359,251,197,125,499,363,250,196,126
"용산구","이태원1동",한국인,474,346,241,195,122,478,352,240,194,123
"용산구","이태원1동",등록외국인,23,13,10,2,3,21,11,10,2,3
"용산구","이태원2동",계,598,405,336,299,177,589,412,325,290,174
"용산구","이태원2동",한국인,570,393,330,298,175,561,400,319,289,172
"용산구","이태원2동",등록외국인,28,12,6,1,2,28,12,6,1,2
"용산구","한남동",계,921,691,492,365,207,921,705,489,362,218
"용산구","한남동",한국인,889,665,484,362,204,892,680,481,358,215
"용산구","한남동",등록외국인,32,26,8,3,3,29,25,8,4,3
"용산구","서빙고동",계,810,533,354,290,262,824,538,357,279,258
"용산구","서빙고동",한국인,795,527,348,285,261,808,532,351,274,258
"용산구","서빙고동",등록외국인,15,6,6,5,1,16,6,6,5,-
"용산구","보광동",계,617,400,320,214,129,606,396,331,202,125
"용산구","보광동",한국인,605,398,318,212,129,594,394,329,200,125
"용산구","보광동",등록외국인,12,2,2,2,-,12,2,2,2,-
"성동구","소계",계,18358,12590,9460,7070,3846,18566,12729,9644,6999,3892
"성동구","소계",한국인,18251,12522,9436,7062,3841,18464,12663,9620,6991,3888
"성동구","소계",등록외국인,107,68,24,8,5,102,66,24,8,4
"성동구","왕십리2동",계,1039,727,546,389,192,1033,719,565,387,192
"성동구","왕십리2동",한국인,1033,726,542,388,192,1027,718,561,386,192
"성동구","왕십리2동",등록외국인,6,1,4,1,-,6,1,4,1,-
"성동구","왕십리도선동",계,1481,1052,769,617,355,1524,1067,792,603,364
"성동구","왕십리도선동",한국인,1475,1047,768,617,355,1518,1062,791,603,364
"성동구","왕십리도선동",등록외국인,6,5,1,-,-,6,5,1,-,-
"성동구","마장동",계,1504,1078,851,605,338,1505,1070,868,596,333
"성동구","마장동",한국인,1495,1073,849,604,338,1496,1065,866,595,333
"성동구","마장동",등록외국인,9,5,2,1,-,9,5,2,1,-
"성동구","사근동",계,459,347,346,277,155,484,338,351,283,153
"성동구","사근동",한국인,457,345,345,277,155,482,337,350,283,153
"성동구","사근동",등록외국인,2,2,1,-,-,2,1,1,-,-
