구명,점수_노인_경사X,점수_노인_경사O,점수_보행보조_경사X,점수_보행보조_경사O,점수_하위15_경사X,점수_하위15_경사O
강남구,72.7,78.4,46.7,48.9,29.6,31.2
강동구,79.2,78.8,47.1,45.7,29.6,27.8
강북구,76.7,67.3,44.9,38.9,28.2,26.3
강서구,77.5,75.1,49.4,44.7,27.6,25.9
관악구,71.4,76.9,42.7,52.8,25.8,37.4
광진구,79.7,76.3,51.0,51.4,34.1,33.8
구로구,74.4,71.4,44.2,48.0,29.8,34.3
금천구,78.2,83.6,41.0,61.3,27.9,46.0
노원구,75.6,79.1,46.1,38.4,27.1,22.1
도봉구,72.3,75.9,44.1,52.1,29.1,33.5
동대문구,75.9,72.3,44.5,44.1,29.3,30.3
동작구,70.9,72.8,44.3,43.7,25.6,27.2
마포구,74.9,79.1,47.6,48.5,30.3,33.3
서대문구,74.5,69.8,47.7,37.7,30.6,20.7
서초구,75.3,73.8,44.9,40.2,24.2,19.9
성동구,76.0,76.8,48.4,47.4,30.1,29.7
성북구,77.7,82.0,43.0,55.9,25.1,34.9
송파구,78.1,79.8,51.7,51.9,36.5,34.6
양천구,77.2,78.2,48.1,46.0,29.7,27.9
영등포구,75.8,75.5,45.0,45.2,28.6,28.7
용산구,74.1,68.4,40.4,35.9,25.3,23.6
은평구,75.8,76.3,44.2,47.8,28.1,29.5
종로구,68.9,72.7,35.6,47.0,22.7,27.5
중구,77.7,75.9,49.4,45.4,31.3,28.0
중랑구,76.6,73.9,47.9,42.6,29.5,26.1
