"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","약국영업면적","지정일자"
"3030000","PHMD120193030033084000019","2019-11-04","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-2231-8803","","          ","서울특별시 성동구 도선동 46 W에비뉴타워 101호","서울특별시 성동구 왕십리로 320, 1층 101호 (도선동)","04709","건강한약국","2023-01-25 11:46:43","I","2026-03-26 22:34:30","","202967.042456635    ","451118.809600324    ","35","2019-11-04"
"3030000","PHMD120203030033084000001","2020-01-21","          ","01","영업/정상","13","영업중","          ","          ","          ","","070-7543-8091","","          ","서울특별시 성동구 성수동1가 656번지 335호","서울특별시 성동구 왕십리로 50, 지하 1층 (성수동1가)","04778","서울숲팜프라자약국","2020-01-21 09:04:32","I","2026-03-26 22:34:30","","203903.353552789    ","448846.820248719    ","29","2020-01-21"
"3030000","PHMD120203030033084000002","2020-07-29","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-467-8231","","          ","서울특별시 성동구 송정동 87-15 건국빌딩","서울특별시 성동구 동일로 261, 건국빌딩 1층 (송정동)","04800","한길약국","2020-07-29 16:01:48","I","2026-03-26 22:34:30","","206193.500564601    ","450291.487796639    ","56","2020-07-29"
"3030000","PHMD120203030033084000003","2020-07-30","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-6077-7142","","          ","서울특별시 성동구 성수동1가 656-591 서울숲A타워","서울특별시 성동구 상원1길 26, 서울숲A타워 109호 (성수동1가)","04779","타워약국","2020-08-26 17:54:08","I","2026-03-26 22:34:30","","204229.703739897    ","449325.484843723    ","42","2020-07-30"
"3030000","PHMD120203030033084000004","2020-10-26","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-2256-7134","","          ","서울특별시 성동구 금호동2가 1217 래미안하이리버 상가동","서울특별시 성동구 금호로 105, 래미안하이리버 상가동 B305호 (금호동2가)","04728","별하나약국","2020-10-26 14:33:57","I","2026-03-26 22:34:30","","202098.97937718     ","449891.972244601    ","20","2020-10-26"
"3030000","PHMD120203030033084000005","2020-12-07","          ","01","영업/정상","13","영업중","          ","          ","          ","","050-4258-8457","","          ","서울특별시 성동구 성수동2가 573-7","서울특별시 성동구 성덕정길 127, 1층 (성수동2가)","04777","신세계약국","2020-12-07 16:25:48","I","2026-03-26 22:34:30","","205017.047053155    ","448277.387756454    ","25","2020-12-07"
"3130000","PHMD120243130033084000014","2024-09-24","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-717-3170","","          ","서울특별시 마포구 대흥동 137-1 승행빌딩","서울특별시 마포구 백범로 99, 승행빌딩 1층 (대흥동)","04136","마포드림약국","2026-04-01 11:21:27","U","2026-04-02 03:03:03","","194852.930773073    ","449508.697371348    ","100","2024-09-24"
"3150000","PHMD120133150037084000011","2013-04-29","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-2659-7489","","          ","","서울특별시 강서구 허준로 23, 107호 (가양동)","07524","한강메디칼약국","2026-04-01 15:51:31","U","2026-04-02 03:03:03","","186236.281118291    ","452133.277893616    ","22","2013-04-29"
"3230000","PHMD120183230034084000027","2018-07-02","          ","01","영업/정상","13","영업중","          ","          ","          ","","02-425-3296","","          ","서울특별시 송파구 신천동 20번지 6호 파크리오","서울특별시 송파구 올림픽로35길 10, B동 308-1호 (신천동, 파크리오)","05507","송파미소약국","2026-04-01 18:57:47","U","2026-04-02 03:03:03","","209933.823276344    ","446455.526715924    ","29","2018-07-02"
"3160000","PHMD120083160034084001601","2008-10-27","          ","03","폐업","03","폐업","2010-03-19","          ","          ","","02-2612-6390","","152-834   ","서울특별시 구로구 고척동 258번지 5통","","     ","제일온누리약국","2010-03-19 16:46:24","I","2026-03-26 22:33:33","","                    ","                    ","65","2008-10-27"
