dong_code,full_name,tobler_ratio
11010530,종로구 사직동,0.687165
11010540,종로구 삼청동,0.452223
11010550,종로구 부암동,0.589145
11010560,종로구 평창동,0.514265
11010570,종로구 무악동,0.393315
11010580,종로구 교남동,0.642078
11010600,종로구 가회동,0.735275
11010610,종로구 종로1·2·3·4가동,0.855827
11010630,종로구 종로5·6가동,0.90753
11010640,종로구 이화동,0.722497
11010670,종로구 창신1동,0.920595
11010680,종로구 창신2동,0.529991
11010690,종로구 창신3동,0.53983
11010700,종로구 숭인1동,0.697398
11010710,종로구 숭인2동,0.840133
11010720,종로구 청운효자동,0.547954
11010730,종로구 혜화동,0.650808
11020520,중구 소공동,0.927818
11020540,중구 회현동,0.646366
11020550,중구 명동,0.815334
11020570,중구 필동,0.540007
11020580,중구 장충동,0.478933
11020590,중구 광희동,0.937479
11020600,중구 을지로동,0.961499
11020650,중구 신당5동,0.692198
11020670,중구 황학동,0.936794
11020680,중구 중림동,0.73549
11020690,중구 신당동,0.927286
11020700,중구 다산동,0.666281
11020710,중구 약수동,0.536078
11020720,중구 청구동,0.624212
11020730,중구 동화동,0.753324
11030510,용산구 후암동,0.574509
11030520,용산구 용산2가동,0.600382
11030530,용산구 남영동,0.941375
11030570,용산구 원효로2동,0.813952
11030580,용산구 효창동,0.774499
11030590,용산구 용문동,0.754079
11030630,용산구 이촌1동,0.967541
11030640,용산구 이촌2동,0.954343
11030650,용산구 이태원1동,0.692263
11030660,용산구 이태원2동,0.544286
11030690,용산구 서빙고동,0.904937
11030700,용산구 보광동,0.795509
11030710,용산구 청파동,0.799617
11030720,용산구 원효로1동,0.860621
11030730,용산구 한강로동,0.945171
11030740,용산구 한남동,0.710992
11040520,성동구 왕십리2동,0.735742
11040540,성동구 마장동,0.865726
11040550,성동구 사근동,0.848523
11040560,성동구 행당1동,0.888411
11040570,성동구 행당2동,0.635879
11040580,성동구 응봉동,0.670236
11040590,성동구 금호1가동,0.646686
11040620,성동구 금호4가동,0.732545
11040650,성동구 성수1가1동,0.938439
11040660,성동구 성수1가2동,0.930082
11040670,성동구 성수2가1동,0.938497
11040680,성동구 성수2가3동,0.945594
11040690,성동구 송정동,0.947011
11040700,성동구 용답동,0.955866
11040710,성동구 왕십리도선동,0.929381
11040720,성동구 금호2·3가동,0.657843
11040730,성동구 옥수동,0.697851
11050530,광진구 화양동,0.936718
11050540,광진구 군자동,0.956227
11050550,광진구 중곡1동,0.941725
11050560,광진구 중곡2동,0.930933
11050570,광진구 중곡3동,0.910921
11050580,광진구 중곡4동,0.538148
11050590,광진구 능동,0.901936
11050600,광진구 구의1동,0.945923
11050610,광진구 구의2동,0.621702
11050620,광진구 구의3동,0.934135
11050630,광진구 광장동,0.742984
11050640,광진구 자양1동,0.939118
11050650,광진구 자양2동,0.933573
11050660,광진구 자양3동,0.921368
11050670,광진구 자양4동,0.919141
11060710,동대문구 회기동,0.675014
11060720,동대문구 휘경1동,0.918575
11060730,동대문구 휘경2동,0.776593
11060800,동대문구 청량리동,0.839463
11060810,동대문구 용신동,0.945083
11060820,동대문구 제기동,0.942678
11060830,동대문구 전농1동,0.937032
11060840,동대문구 전농2동,0.849784
11060860,동대문구 답십리2동,0.780878
11060870,동대문구 장안1동,0.971996
11060880,동대문구 장안2동,0.970915
11060890,동대문구 이문1동,0.878207
11060900,동대문구 이문2동,0.927857
11060910,동대문구 답십리1동,0.931149
11070520,중랑구 면목2동,0.965255
11070540,중랑구 면목4동,0.442842
11070550,중랑구 면목5동,0.954635
11070570,중랑구 면목7동,0.43065
11070590,중랑구 상봉1동,0.679696
11070600,중랑구 상봉2동,0.963924
11070610,중랑구 중화1동,0.820142
11070620,중랑구 중화2동,0.965757
11070640,중랑구 묵1동,0.668813
11070650,중랑구 묵2동,0.937532
11070680,중랑구 망우3동,0.483666
11070690,중랑구 신내1동,0.735307
11070700,중랑구 신내2동,0.800541
11070710,중랑구 면목본동,0.930189
11070720,중랑구 면목3·8동,0.544288
11070730,중랑구 망우본동,0.627416
11080580,성북구 돈암1동,0.647787
11080590,성북구 돈암2동,0.649242
11080600,성북구 안암동,0.741504
11080610,성북구 보문동,0.784893
11080620,성북구 정릉1동,0.609975
11080630,성북구 정릉2동,0.670261
11080640,성북구 정릉3동,0.576339
11080650,성북구 정릉4동,0.35159
