"동별(1)",동별(2),동별(3),2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005
"동별(1)",동별(2),동별(3),금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관
"동별(1)",동별(2),동별(3),소계,한국은행,시중은행,시중은행,시중은행,시중은행,시중은행,시중은행,시중은행,시중은행,지방은행,특수은행,특수은행,특수은행,특수은행,기타
"동별(1)",동별(2),동별(3),소계,소계,우리은행,조흥은행,SC제일은행,KB국민은행,한국외한은행,신한은행,한국씨티은행,KEB하나은행,소계,IBK기업은행,NH농협은행,수협은행,KDB산업은행,한국수출입은행
"합계",소계,소계,2410,2,375,241,206,450,138,210,104,306,15,169,131,50,12,1
"합계",종로구,소계,136,-,23,14,12,29,11,11,4,14,1,8,7,1,1,-
"합계",중구,소계,219,1,35,27,16,38,11,22,10,27,5,14,9,4,-,-
"합계",용산구,소계,83,-,13,8,7,12,6,7,3,13,-,6,8,-,-,-
"합계",성동구,소계,64,-,8,9,9,10,3,2,4,8,-,6,4,1,-,-
"합계",광진구,소계,69,-,11,8,7,15,5,4,2,9,-,5,3,-,-,-
"합계",동대문구,소계,74,-,14,6,9,15,4,4,1,8,-,6,5,2,-,-
"합계",중랑구,소계,41,-,7,4,6,8,2,3,1,4,-,2,2,2,-,-
"합계",성북구,소계,63,-,12,6,6,13,3,3,1,12,-,4,3,-,-,-
"합계",강북구,소계,44,-,7,3,2,8,2,3,1,7,-,6,3,2,-,-
"합계",도봉구,소계,35,-,5,4,3,7,2,3,1,5,-,2,2,1,-,-
"합계",노원구,소계,70,-,12,5,3,14,1,7,3,9,-,6,8,1,1,-
"합계",은평구,소계,48,-,5,5,3,10,2,3,1,7,-,5,4,3,-,-
"합계",서대문구,소계,61,-,13,5,5,12,3,3,2,8,-,7,3,-,-,-
"합계",마포구,소계,92,-,12,10,8,15,6,7,4,14,-,6,5,4,1,-
"합계",양천구,소계,79,-,10,9,9,16,5,3,3,12,-,4,6,1,1,-
"합계",강서구,소계,72,-,10,12,3,12,5,9,2,6,-,5,4,4,-,-
"합계",구로구,소계,68,-,9,5,6,14,5,9,1,6,-,11,2,-,-,-
"합계",금천구,소계,53,-,9,3,3,9,1,5,-,7,-,8,5,2,1,-
"합계",영등포구,소계,156,-,24,16,15,28,5,15,5,19,3,12,7,5,2,-
"합계",동작구,소계,66,-,14,6,5,12,2,10,1,9,-,2,4,1,-,-
"합계",관악구,소계,58,-,12,4,5,15,2,3,2,5,-,5,3,2,-,-
"합계",서초구,소계,202,-,30,20,17,32,17,19,15,29,2,10,7,3,1,-
"합계",강남구,소계,352,1,47,38,28,65,24,35,30,39,4,18,16,3,3,1
"합계",송파구,소계,134,-,22,8,13,25,8,14,4,20,-,7,6,6,1,-
"합계",강동구,소계,71,-,11,6,6,16,3,6,3,9,-,4,5,2,-,-
