"동별(1)",동별(2),동별(3),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"동별(1)",동별(2),동별(3),금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관
"동별(1)",동별(2),동별(3),소계,한국은행,시중은행,시중은행,시중은행,시중은행,시중은행,시중은행,시중은행,지방은행,특수은행,특수은행,특수은행,특수은행,기타,기타
"동별(1)",동별(2),동별(3),소계,소계,우리은행,SC제일은행,KB국민은행,한국외한은행,신한은행,한국씨티은행,KEB하나은행,소계,IBK기업은행,NH농협은행,수협은행,KDB산업은행,한국수출입은행,외국은행
"합계",소계,소계,2613,2,470,164,443,153,396,86,311,31,223,202,57,30,2,43
"합계",종로구,소계,142,-,25,10,23,12,19,3,12,-,9,15,1,2,-,11
"합계",종로구,청운효자동,3,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-
"합계",종로구,사직동,24,-,2,1,2,3,2,2,2,-,1,4,-,1,-,4
"합계",종로구,삼청동,5,-,2,-,-,-,-,-,1,-,-,2,-,-,-,-
"합계",종로구,부암동,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
"합계",종로구,평창동,5,-,1,-,1,1,1,-,1,-,-,-,-,-,-,-
"합계",종로구,무악동,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
"합계",종로구,교남동,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
"합계",종로구,가회동,4,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-
"합계",종로구,종로1.2.3.4가동,59,-,9,7,11,4,5,1,4,-,4,6,-,1,-,7
"합계",종로구,종로5.6가동,12,-,3,-,2,2,2,-,1,-,1,-,1,-,-,-
"합계",종로구,이화동,6,-,-,-,1,-,2,-,-,-,1,2,-,-,-,-
"합계",종로구,혜화동,6,-,2,-,2,-,1,-,1,-,-,-,-,-,-,-
"합계",종로구,창신1동,5,-,1,1,1,-,1,-,-,-,1,-,-,-,-,-
"합계",종로구,창신2동,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"합계",종로구,숭인1동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",종로구,숭인2동,5,-,1,-,-,1,1,-,1,-,-,1,-,-,-,-
"합계",중구,소계,229,1,39,11,29,13,39,5,20,7,18,15,5,2,-,25
"합계",중구,소공동,46,1,3,4,5,4,12,-,3,1,1,4,-,1,-,7
"합계",중구,회현동,26,-,8,1,4,2,2,-,2,-,2,3,-,-,-,2
"합계",중구,명동,86,-,9,3,9,5,12,5,8,6,7,3,2,1,-,16
"합계",중구,필동,7,-,2,1,-,-,2,-,1,-,-,1,-,-,-,-
"합계",중구,장충동,6,-,2,-,1,-,2,-,1,-,-,-,-,-,-,-
"합계",중구,광희동,18,-,5,1,3,1,1,-,2,-,3,1,1,-,-,-
"합계",중구,을지로동,13,-,3,1,2,-,3,-,1,-,1,2,-,-,-,-
"합계",중구,신당동,7,-,1,-,2,-,2,-,-,-,-,-,2,-,-,-
"합계",중구,다산동,4,-,1,-,2,1,-,-,-,-,-,-,-,-,-,-
"합계",중구,약수동,3,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-
"합계",중구,청구동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",중구,신당5동,3,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-
"합계",중구,동화동,2,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-
"합계",중구,황학동,5,-,1,-,1,-,1,-,-,-,2,-,-,-,-,-
"합계",중구,중림동,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,소계,96,-,18,7,13,5,12,4,14,-,11,11,-,1,-,-
"합계",용산구,후암동,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,용산2가동,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"합계",용산구,남영동,10,-,2,2,1,1,-,-,1,-,2,1,-,-,-,-
"합계",용산구,청파동,4,-,1,-,1,-,1,-,1,-,-,-,-,-,-,-
"합계",용산구,원효로1동,3,-,1,-,-,-,1,-,-,-,-,1,-,-,-,-
"합계",용산구,원효로2동,5,-,1,1,1,-,1,-,-,-,1,-,-,-,-,-
"합계",용산구,효창동,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,한강로동,23,-,6,1,3,-,3,1,5,-,1,3,-,-,-,-
"합계",용산구,이촌1동,17,-,1,1,3,1,3,2,3,-,1,1,-,1,-,-
"합계",용산구,이태원1동,8,-,1,1,1,2,1,-,-,-,2,-,-,-,-,-
"합계",용산구,이태원2동,5,-,1,-,1,-,1,-,-,-,1,1,-,-,-,-
"합계",용산구,한남동,12,-,2,-,1,1,1,1,3,-,2,1,-,-,-,-
"합계",용산구,서빙고동,3,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-
"합계",용산구,보광동,2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-
"합계",성동구,소계,63,-,12,6,12,2,9,3,7,-,6,5,-,1,-,-
"합계",성동구,왕십리2동,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
"합계",성동구,왕십리도선동,4,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-
"합계",성동구,마장동,5,-,1,2,1,-,-,-,-,-,1,-,-,-,-,-
"합계",성동구,사근동,4,-,-,-,1,-,2,-,1,-,-,-,-,-,-,-
"합계",성동구,행당1동,6,-,2,-,2,-,-,-,1,-,-,1,-,-,-,-
"합계",성동구,행당2동,3,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-
"합계",성동구,응봉동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",성동구,금호1가동,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",성동구,금호2.3가동,3,-,1,-,-,-,1,-,-,-,-,1,-,-,-,-
"합계",성동구,금호4가동,4,-,1,1,1,-,-,-,-,-,-,1,-,-,-,-
"합계",성동구,옥수동,3,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-
"합계",성동구,성수1가1동,3,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",성동구,성수1가2동,4,-,1,-,1,-,1,-,-,-,1,-,-,-,-,-
"합계",성동구,성수2가1동,3,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-
"합계",성동구,성수2가3동,15,-,2,2,2,1,2,1,1,-,2,1,-,1,-,-
"합계",성동구,용답동,3,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-
"합계",광진구,소계,68,-,12,5,15,6,11,2,8,-,5,2,1,-,-,1
"합계",광진구,화양동,10,-,-,-,2,2,2,-,1,-,1,1,1,-,-,-
"합계",광진구,군자동,4,-,2,-,1,1,-,-,-,-,-,-,-,-,-,-
"합계",광진구,중곡1동,4,-,1,1,1,-,-,-,-,-,1,-,-,-,-,-
"합계",광진구,중곡2동,4,-,-,-,1,-,1,-,1,-,1,-,-,-,-,-
"합계",광진구,중곡3동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",광진구,중곡4동,2,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",광진구,광장동,10,-,2,-,1,1,2,1,2,-,1,-,-,-,-,-
"합계",광진구,자양1동,3,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",광진구,자양2동,3,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-
"합계",광진구,자양3동,7,-,1,1,3,-,1,-,1,-,-,-,-,-,-,-
"합계",광진구,자양4동,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
"합계",광진구,구의1동,5,-,-,1,-,-,1,-,1,-,1,1,-,-,-,-
"합계",광진구,구의2동,3,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-
"합계",광진구,구의3동,10,-,1,1,3,-,2,1,1,-,-,-,-,-,-,1
"합계",동대문구,소계,72,-,15,4,13,4,8,1,9,-,7,8,3,-,-,-
"합계",동대문구,용신동,11,-,1,1,2,-,-,1,1,-,2,2,1,-,-,-
"합계",동대문구,제기동,9,-,1,-,2,1,2,-,-,-,1,1,1,-,-,-
"합계",동대문구,전농1동,3,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-
