연도,자치구,동,은행수
2005,서울시 합계,소계,2410.0
2005,종로구,소계,136.0
2005,중구,소계,219.0
2005,용산구,소계,83.0
2005,성동구,소계,64.0
2005,광진구,소계,69.0
2005,동대문구,소계,74.0
2005,중랑구,소계,41.0
2005,성북구,소계,63.0
2005,강북구,소계,44.0
2005,도봉구,소계,35.0
2005,노원구,소계,70.0
2005,은평구,소계,48.0
2005,서대문구,소계,61.0
2005,마포구,소계,92.0
2005,양천구,소계,79.0
2005,강서구,소계,72.0
2005,구로구,소계,68.0
2005,금천구,소계,53.0
2005,영등포구,소계,156.0
2005,동작구,소계,66.0
2005,관악구,소계,58.0
2005,서초구,소계,202.0
2005,강남구,소계,352.0
2005,송파구,소계,134.0
2005,강동구,소계,71.0
2006,서울시 합계,소계,2558.0
2006,종로구,소계,154.0
2006,종로구,효자동,3.0
2006,종로구,사직동,22.0
2006,종로구,삼청동,2.0
2006,종로구,부암동,2.0
2006,종로구,평창동,5.0
2006,종로구,무악동,1.0
2006,종로구,교남동,2.0
2006,종로구,가회동,5.0
2006,종로구,종로1.2.3.4가동,67.0
2006,종로구,종로5.6가동,16.0
2006,종로구,이화동,7.0
2006,종로구,혜화동,4.0
2006,종로구,명륜3가동,1.0
2006,종로구,창신1동,8.0
2006,종로구,창신2동,1.0
2006,종로구,숭인1동,8.0
2006,중구,소계,241.0
2006,중구,소공동,47.0
2006,중구,회현동,34.0
2006,중구,명동,82.0
2006,중구,필동,13.0
2006,중구,장충동,3.0
2006,중구,광희동,18.0
2006,중구,을지로동,19.0
2006,중구,신당1동,15.0
2006,중구,신당3동,1.0
2006,중구,신당4동,1.0
2006,중구,신당5동,2.0
2006,중구,신당6동,1.0
2006,중구,황학동,3.0
2006,중구,중림동,2.0
2006,용산구,소계,88.0
2006,용산구,후암동,3.0
2006,용산구,용산2가동,2.0
2006,용산구,남영동,7.0
2006,용산구,청파1동,1.0
2006,용산구,청파2동,2.0
2006,용산구,원효로1동,5.0
2006,용산구,원효로2동,4.0
2006,용산구,효창동,1.0
2006,용산구,한강로1동,3.0
2006,용산구,한강로2동,24.0
2006,용산구,이촌1동,12.0
2006,용산구,이태원1동,8.0
2006,용산구,한남1동,10.0
2006,용산구,한남2동,1.0
2006,용산구,서빙고동,3.0
2006,용산구,보광동,2.0
2006,성동구,소계,66.0
2006,성동구,왕십리1동,2.0
2006,성동구,왕십리2동,1.0
2006,성동구,도선동,5.0
2006,성동구,마장동,5.0
2006,성동구,행당1동,12.0
2006,성동구,응봉동,2.0
2006,성동구,금호1가동,1.0
2006,성동구,금호2가동,1.0
2006,성동구,금호3가동,1.0
2006,성동구,금호4가동,5.0
2006,성동구,옥수1동,3.0
2006,성동구,성수1가1동,10.0
2006,성동구,성수2가1동,13.0
2006,성동구,성수2가3동,2.0
2006,성동구,용답동,3.0
2006,광진구,소계,70.0
2006,광진구,노유1동,1.0
2006,광진구,노유2동,1.0
2006,광진구,화양동,9.0
2006,광진구,군자동,4.0
2006,광진구,중곡1동,12.0
2006,광진구,중곡2동,1.0
2006,광진구,중곡3동,1.0
2006,광진구,중곡4동,1.0
2006,광진구,능동,1.0
2006,광진구,광장동,9.0
2006,광진구,자양1동,12.0
2006,광진구,자양3동,1.0
2006,광진구,구의1동,17.0
2006,동대문구,소계,75.0
2006,동대문구,신설동,2.0
2006,동대문구,용두1동,7.0
2006,동대문구,용두2동,1.0
2006,동대문구,제기1동,10.0
2006,동대문구,제기2동,1.0
2006,동대문구,전농1동,4.0
2006,동대문구,전농3동,1.0
2006,동대문구,전농4동,1.0
2006,동대문구,답십리1동,4.0
2006,동대문구,답십리2동,1.0
2006,동대문구,답십리4동,1.0
2006,동대문구,답십리5동,3.0
2006,동대문구,장안1동,14.0
2006,동대문구,장안2동,2.0
2006,동대문구,장안3동,2.0
2006,동대문구,장안4동,1.0
2006,동대문구,청량리1동,7.0
2006,동대문구,회기동,4.0
2006,동대문구,휘경1동,3.0
2006,동대문구,휘경2동,1.0
2006,동대문구,이문1동,5.0
2006,중랑구,소계,41.0
2006,중랑구,면목1동,9.0
2006,중랑구,면목2동,1.0
2006,중랑구,면목6동,1.0
2006,중랑구,면목7동,1.0
2006,중랑구,상봉1동,3.0
2006,중랑구,상봉2동,2.0
2006,중랑구,중화1동,4.0
2006,중랑구,중화2동,2.0
2006,중랑구,묵1동,6.0
2006,중랑구,망우1동,6.0
2006,중랑구,망우2동,1.0
2006,중랑구,망우3동,1.0
2006,중랑구,신내1동,4.0
2006,성북구,소계,69.0
2006,성북구,성북1동,1.0
2006,성북구,성북2동,1.0
2006,성북구,동소문동,5.0
2006,성북구,삼선1동,2.0
2006,성북구,삼선2동,3.0
2006,성북구,동선1동,1.0
2006,성북구,동선2동,2.0
2006,성북구,돈암1동,4.0
2006,성북구,안암동,5.0
2006,성북구,보문동,5.0
2006,성북구,정릉1동,4.0
2006,성북구,정릉2동,1.0
2006,성북구,정릉4동,2.0
2006,성북구,길음1동,5.0
2006,성북구,길음2동,1.0
2006,성북구,종암1동,4.0
2006,성북구,월곡1동,10.0
2006,성북구,월곡2동,1.0
2006,성북구,상월곡동,1.0
2006,성북구,장위1동,6.0
2006,성북구,석관1동,5.0
2006,강북구,소계,44.0
2006,강북구,미아1동,15.0
2006,강북구,미아3동,2.0
2006,강북구,미아4동,1.0
2006,강북구,미아6.7동,1.0
2006,강북구,미아8동,1.0
2006,강북구,번1동,6.0
2006,강북구,번3동,1.0
2006,강북구,수유1동,11.0
2006,강북구,수유2동,2.0
2006,강북구,수유3동,3.0
2006,강북구,수유4동,1.0
2006,도봉구,소계,36.0
2006,도봉구,창1동,11.0
2006,도봉구,창2동,1.0
2006,도봉구,창4동,1.0
2006,도봉구,창5동,2.0
2006,도봉구,도봉1동,3.0
2006,도봉구,쌍문1동,5.0
2006,도봉구,쌍문3동,1.0
2006,도봉구,방학1동,12.0
2006,노원구,소계,75.0
2006,노원구,월계1동,6.0
2006,노원구,월계3동,1.0
2006,노원구,공릉1동,14.0
2006,노원구,공릉2동,1.0
2006,노원구,하계1동,5.0
2006,노원구,중계1동,15.0
2006,노원구,중계4동,1.0
2006,노원구,상계1동,20.0
2006,노원구,상계5동,1.0
2006,노원구,상계6동,6.0
2006,노원구,상계7동,2.0
2006,노원구,상계8동,1.0
2006,노원구,상계9동,2.0
2006,은평구,소계,49.0
2006,은평구,녹번동,3.0
2006,은평구,불광1동,6.0
2006,은평구,불광2동,1.0
2006,은평구,갈현1동,8.0
2006,은평구,대조동,6.0
2006,은평구,응암1동,9.0
2006,은평구,응암3동,2.0
2006,은평구,응암4동,2.0
2006,은평구,역촌1동,6.0
2006,은평구,신사1동,2.0
2006,은평구,증산동,1.0
2006,은평구,수색동,3.0
2006,서대문구,소계,62.0
2006,서대문구,충정로동,9.0
2006,서대문구,천연동,2.0
2006,서대문구,북아현1동,4.0
2006,서대문구,대신동,6.0
2006,서대문구,창천동,5.0
2006,서대문구,연희1동,8.0
2006,서대문구,연희2동,2.0
2006,서대문구,홍제1동,6.0
2006,서대문구,홍제3동,2.0
2006,서대문구,홍제2동,1.0
2006,서대문구,홍제4동,1.0
2006,서대문구,홍은1동,3.0
2006,서대문구,홍은2동,1.0
2006,서대문구,홍은3동,1.0
2006,서대문구,남가좌1동,6.0
2006,서대문구,남가좌2동,1.0
2006,서대문구,북가좌1동,4.0
2006,마포구,소계,96.0
2006,마포구,아현1동,4.0
2006,마포구,공덕1동,13.0
2006,마포구,공덕2동,1.0
2006,마포구,도화1동,16.0
2006,마포구,도화2동,1.0
2006,마포구,용강동,4.0
2006,마포구,대흥동,3.0
2006,마포구,염리동,1.0
2006,마포구,노고산동,6.0
2006,마포구,신수동,2.0
2006,마포구,창전동,2.0
2006,마포구,서교동,13.0
2006,마포구,동교동,10.0
2006,마포구,합정동,3.0
2006,마포구,망원1동,5.0
2006,마포구,연남동,2.0
2006,마포구,성산1동,5.0
2006,마포구,성산2동,2.0
2006,마포구,상암동,3.0
2006,양천구,소계,84.0
2006,양천구,목1동,31.0
2006,양천구,목2동,1.0
2006,양천구,목3동,1.0
2006,양천구,목4동,1.0
2006,양천구,목5동,2.0
2006,양천구,목6동,2.0
2006,양천구,신월1동,10.0
2006,양천구,신월2동,1.0
2006,양천구,신월6동,1.0
2006,양천구,신월7동,1.0
2006,양천구,신정1동,26.0
2006,양천구,신정2동,1.0
2006,양천구,신정4동,2.0
2006,양천구,신정5동,2.0
2006,양천구,신정6동,1.0
2006,양천구,신정7동,1.0
2006,강서구,소계,73.0
2006,강서구,염창동,5.0
2006,강서구,등촌1동,9.0
2006,강서구,등촌2동,1.0
2006,강서구,등촌3동,3.0
2006,강서구,화곡1동,15.0
2006,강서구,화곡3동,1.0
2006,강서구,화곡4동,1.0
2006,강서구,화곡5동,1.0
2006,강서구,화곡6동,2.0
2006,강서구,화곡7동,1.0
2006,강서구,화곡8동,1.0
2006,강서구,가양1동,4.0
2006,강서구,발산1동,8.0
2006,강서구,공항동,11.0
2006,강서구,방화1동,7.0
2006,강서구,방화2동,2.0
2006,강서구,방화3동,1.0
2006,구로구,소계,74.0
2006,구로구,신도림동,4.0
2006,구로구,구로1동,36.0
2006,구로구,구로2동,1.0
2006,구로구,구로3동,2.0
2006,구로구,구로4동,1.0
2006,구로구,구로5동,2.0
2006,구로구,구로6동,1.0
2006,구로구,구로본동,3.0
2006,구로구,가리봉1동,1.0
2006,구로구,고척1동,5.0
2006,구로구,고척2동,1.0
2006,구로구,개봉1동,7.0
2006,구로구,개봉2동,1.0
2006,구로구,개봉3동,1.0
2006,구로구,오류1동,6.0
2006,구로구,오류2동,1.0
2006,구로구,수궁동,1.0
2006,금천구,소계,57.0
2006,금천구,가산동,18.0
2006,금천구,독산1동,14.0
2006,금천구,독산2동,1.0
2006,금천구,독산4동,1.0
2006,금천구,시흥1동,16.0
2006,금천구,시흥2동,3.0
2006,금천구,시흥4동,1.0
2006,금천구,시흥5동,1.0
2006,금천구,시흥본동,2.0
2006,영등포구,소계,161.0
2006,영등포구,영등포1동,3.0
2006,영등포구,영등포2동,18.0
2006,영등포구,영등포3동,7.0
2006,영등포구,여의동,77.0
2006,영등포구,당산1동,8.0
2006,영등포구,당산2동,8.0
2006,영등포구,도림1동,1.0
2006,영등포구,문래1동,5.0
2006,영등포구,문래2동,3.0
2006,영등포구,양평1동,5.0
2006,영등포구,양평2동,3.0
2006,영등포구,신길1동,10.0
2006,영등포구,신길3동,1.0
2006,영등포구,신길4동,1.0
2006,영등포구,대림1동,9.0
2006,영등포구,대림3동,2.0
2006,동작구,소계,67.0
2006,동작구,노량진1동,9.0
2006,동작구,상도1동,9.0
2006,동작구,상도2동,1.0
2006,동작구,상도3동,1.0
2006,동작구,상도4동,1.0
2006,동작구,상도5동,2.0
2006,동작구,본동,1.0
2006,동작구,흑석1동,7.0
2006,동작구,흑석2동,1.0
2006,동작구,사당1동,16.0
2006,동작구,대방동,7.0
2006,동작구,신대방1동,11.0
2006,동작구,신대방2동,1.0
2006,관악구,소계,60.0
2006,관악구,봉천1동,21.0
2006,관악구,봉천3동,1.0
2006,관악구,봉천4동,2.0
2006,관악구,봉천6동,4.0
2006,관악구,봉천7동,1.0
2006,관악구,봉천8동,1.0
2006,관악구,봉천11동,3.0
2006,관악구,남현동,1.0
2006,관악구,신림본동,2.0
2006,관악구,신림1동,14.0
2006,관악구,신림2동,2.0
2006,관악구,신림3동,1.0
2006,관악구,신림5동,3.0
2006,관악구,신림9동,3.0
2006,관악구,신림12동,1.0
2006,서초구,소계,210.0
2006,서초구,서초1동,79.0
2006,서초구,서초2동,6.0
2006,서초구,서초3동,3.0
2006,서초구,서초4동,3.0
2006,서초구,잠원동,18.0
2006,서초구,반포본동,1.0
2006,서초구,반포1동,30.0
2006,서초구,반포4동,4.0
2006,서초구,방배1동,33.0
2006,서초구,방배2동,3.0
2006,서초구,방배3동,2.0
2006,서초구,양재1동,27.0
2006,서초구,양재2동,1.0
2006,강남구,소계,386.0
2006,강남구,신사동,40.0
2006,강남구,논현1동,49.0
2006,강남구,논현2동,2.0
2006,강남구,압구정1동,7.0
2006,강남구,청담1동,18.0
2006,강남구,삼성1동,54.0
2006,강남구,대치1동,59.0
2006,강남구,대치3동,1.0
2006,강남구,대치4동,3.0
2006,강남구,역삼1동,95.0
2006,강남구,역삼2동,1.0
2006,강남구,도곡1동,28.0
2006,강남구,도곡2동,2.0
2006,강남구,개포1동,10.0
2006,강남구,개포3동,2.0
2006,강남구,개포4동,2.0
2006,강남구,일원본동,3.0
2006,강남구,일원1동,7.0
2006,강남구,수서동,3.0
2006,송파구,소계,145.0
2006,송파구,풍납1동,4.0
2006,송파구,풍납2동,1.0
2006,송파구,거여1동,2.0
2006,송파구,거여2동,1.0
2006,송파구,마천1동,4.0
2006,송파구,방이1동,14.0
2006,송파구,오륜동,2.0
2006,송파구,오금동,6.0
2006,송파구,송파1동,11.0
2006,송파구,송파2동,2.0
2006,송파구,석촌동,10.0
2006,송파구,삼전동,7.0
2006,송파구,가락본동,1.0
2006,송파구,가락1동,23.0
2006,송파구,가락2동,1.0
2006,송파구,문정1동,10.0
2006,송파구,문정2동,1.0
2006,송파구,잠실본동,1.0
2006,송파구,잠실1동,23.0
2006,송파구,잠실4동,19.0
2006,송파구,잠실7동,2.0
2006,강동구,소계,75.0
2006,강동구,상일동,2.0
2006,강동구,명일1동,14.0
2006,강동구,명일2동,1.0
2006,강동구,고덕1동,1.0
2006,강동구,암사1동,9.0
2006,강동구,천호1동,13.0
2006,강동구,성내1동,15.0
2006,강동구,성내2동,1.0
2006,강동구,성내3동,1.0
2006,강동구,길1동,11.0
2006,강동구,둔촌1동,7.0
2007,서울시 합계,소계,2613.0
2007,종로구,소계,152.0
2007,종로구,청운동,2.0
2007,종로구,효자동,3.0
2007,종로구,사직동,20.0
2007,종로구,삼청동,2.0
2007,종로구,부암동,2.0
2007,종로구,평창동,5.0
2007,종로구,무악동,1.0
2007,종로구,교남동,2.0
2007,종로구,가회동,5.0
2007,종로구,종로1.2.3.4가동,68.0
2007,종로구,종로5.6가동,15.0
2007,종로구,이화동,6.0
2007,종로구,혜화동,3.0
2007,종로구,명륜3가동,1.0
2007,종로구,창신1동,7.0
2007,종로구,창신2동,2.0
2007,종로구,숭인2동,8.0
2007,중구,소계,243.0
2007,중구,소공동,48.0
2007,중구,회현동,34.0
2007,중구,명동,81.0
2007,중구,필동,12.0
2007,중구,장충동,3.0
2007,중구,광희동,19.0
2007,중구,을지로동,21.0
2007,중구,신당1동,8.0
2007,중구,신당2동,1.0
2007,중구,신당3동,4.0
2007,중구,신당4동,1.0
2007,중구,신당5동,4.0
2007,중구,신당6동,2.0
2007,중구,황학동,3.0
2007,중구,중림동,2.0
2007,용산구,소계,91.0
2007,용산구,후암동,3.0
2007,용산구,용산2가동,2.0
2007,용산구,남영동,7.0
2007,용산구,청파1동,1.0
2007,용산구,청파2동,2.0
2007,용산구,원효로1동,3.0
2007,용산구,원효로2동,5.0
2007,용산구,한강로1동,2.0
2007,용산구,한강로2동,13.0
2007,용산구,한강로3동,14.0
2007,용산구,이촌1동,13.0
2007,용산구,이촌2동,1.0
2007,용산구,이태원1동,6.0
2007,용산구,이태원2동,2.0
2007,용산구,한남1동,7.0
2007,용산구,한남2동,5.0
2007,용산구,서빙고동,3.0
2007,용산구,보광동,2.0
2007,성동구,소계,64.0
2007,성동구,왕십리1동,3.0
2007,성동구,도선동,4.0
2007,성동구,마장동,6.0
2007,성동구,사근동,2.0
2007,성동구,행당1동,7.0
2007,성동구,행당2동,3.0
2007,성동구,응봉동,2.0
2007,성동구,금호1가동,1.0
2007,성동구,금호2가동,1.0
2007,성동구,금호3가동,1.0
2007,성동구,금호4가동,5.0
2007,성동구,옥수2동,3.0
2007,성동구,성수1가1동,4.0
2007,성동구,성수1가2동,1.0
2007,성동구,성수2가1동,3.0
2007,성동구,성수2가3동,15.0
2007,성동구,용답동,3.0
2007,광진구,소계,69.0
2007,광진구,화양동,9.0
2007,광진구,군자동,4.0
2007,광진구,중곡1동,4.0
2007,광진구,중곡2동,4.0
2007,광진구,중곡3동,1.0
2007,광진구,중곡4동,3.0
2007,광진구,능동,1.0
2007,광진구,광장동,11.0
2007,광진구,자양1동,3.0
2007,광진구,자양2동,3.0
2007,광진구,자양3동,9.0
2007,광진구,구의1동,6.0
2007,광진구,구의2동,3.0
2007,광진구,구의3동,8.0
2007,동대문구,소계,76.0
2007,동대문구,신설동,6.0
2007,동대문구,용두1동,2.0
2007,동대문구,용두2동,1.0
2007,동대문구,제기1동,6.0
2007,동대문구,제기2동,5.0
2007,동대문구,전농1동,1.0
2007,동대문구,전농2동,1.0
2007,동대문구,전농3동,3.0
2007,동대문구,전농4동,1.0
2007,동대문구,답십리1동,1.0
2007,동대문구,답십리2동,1.0
2007,동대문구,답십리3동,2.0
2007,동대문구,답십리4동,1.0
2007,동대문구,답십리5동,5.0
2007,동대문구,장안1동,8.0
2007,동대문구,장안2동,3.0
2007,동대문구,장안3동,6.0
2007,동대문구,장안4동,2.0
2007,동대문구,청량리1동,7.0
2007,동대문구,회기동,5.0
2007,동대문구,휘경1동,3.0
2007,동대문구,휘경2동,1.0
2007,동대문구,이문1동,1.0
2007,동대문구,이문2동,4.0
2007,중랑구,소계,40.0
2007,중랑구,면목2동,2.0
2007,중랑구,면목4동,1.0
2007,중랑구,면목본동,1.0
2007,중랑구,면목7동,2.0
2007,중랑구,면목3.8동,4.0
2007,중랑구,상봉1동,4.0
2007,중랑구,상봉2동,2.0
2007,중랑구,중화1동,1.0
2007,중랑구,중화2동,5.0
2007,중랑구,묵1동,1.0
2007,중랑구,묵2동,5.0
