구명,전체인구,65세이상인구,고령화율,시설수,공원면적_m2,공원커버_노인10분,공원커버_청년10분,복지커버_노인10분,복지커버_청년10분,welfare_index,green_index,복지_속도격차,공원_속도격차,복지_박탈노인,공원_박탈노인,norm_welfare_blind,norm_park_blind,vulnerability_score
송파구,649759,119251,18.35,6,2905362.0,9.359876584779233,34.46860724504271,7.457315042120648,26.376037716142076,0.503,24.36,18.92,25.11,110358.0,108089.0,1.0,1.0,1.0
노원구,489003,104776,21.43,7,12024307.3,1.0372393658680317,3.938961769876136,7.05673784464936,22.566218595506196,0.668,114.76,15.51,2.9,97382.0,103689.0,0.849997109993642,0.9468181543482203,0.8984
강서구,556370,113320,20.37,16,2699505.0,10.58420575636906,32.88355435564026,13.631249006063104,38.876097516086006,1.412,23.82,25.24,22.3,97873.0,101326.0,0.8556730824807814,0.9182570858765939,0.887
강동구,503997,98148,19.47,5,943666.9,12.125225377495395,37.48673762084619,8.889074998007693,27.571293869083863,0.509,9.61,18.68,25.36,89424.0,86247.0,0.7580024276053408,0.7360004834713241,0.747
관악구,497391,92939,18.69,7,14289535.5,3.348971011891123,12.596476478530525,9.016799685344797,29.98468382581195,0.753,153.75,20.97,9.25,84559.0,89826.0,0.7017629038783886,0.7792590801958059,0.7405
은평구,459586,102485,22.3,22,2988706.0,8.814192836162631,27.69295957604683,25.481541655853697,53.1877964981439,2.147,29.16,27.71,18.88,76370.0,93452.0,0.6070978556152824,0.8230857557261135,0.7151
구로구,408238,88122,21.59,2,1818613.0,7.9513874983760005,29.254988529011584,5.068537900796033,19.0907846148715,0.227,20.64,14.02,21.3,83656.0,81115.0,0.691324200913242,0.6739711125883846,0.6826
강남구,562508,95530,16.98,20,3626398.5,9.000215680553382,32.715929965866295,21.82235762252125,58.12252752214064,2.094,37.96,36.3,23.72,74683.0,86932.0,0.587596092711404,0.744279929896658,0.6659
성북구,437496,87537,20.01,8,1198327.0,6.186568970177271,24.05316349037045,13.150957540685104,43.74479416412251,0.914,13.69,30.59,17.87,76025.0,82121.0,0.603109646841223,0.6861304163896779,0.6446
강북구,285900,74406,26.03,3,2066021.0,6.218411649203278,21.329928157321877,5.411991405215193,21.233660161011702,0.403,27.77,15.82,15.11,70379.0,69779.0,0.5378417432518352,0.5369553393364356,0.5374
양천구,428537,84581,19.74,13,1203428.5,12.902680113514561,43.88216152316083,23.76955424056246,61.76831978733841,1.537,14.23,38.0,30.98,64476.0,73668.0,0.4696029131264089,0.5839608388227473,0.5268
도봉구,303051,78335,25.85,7,1084218.0,12.168342454429787,35.04473747123951,11.996931024680112,36.87048848158358,0.894,13.84,24.87,22.88,68937.0,68803.0,0.5211721865788105,0.5251586390282227,0.5232
서초구,419295,72308,17.25,13,11972993.0,4.165763348687644,15.99712336982371,8.538143568575789,27.390635321806723,1.798,165.58,18.85,11.83,66134.0,69296.0,0.4887694352927576,0.5311174230978425,0.5099
영등포구,395248,73471,18.59,7,424446.0,9.620664757587022,32.18584321370622,8.475227455086216,28.975659661782043,0.953,5.78,20.5,22.57,67244.0,66403.0,0.5016010635223398,0.4961503595817973,0.4989
중랑구,383764,88128,22.96,17,7046975.0,13.945476521594191,46.85050664191082,36.692931940977445,78.968593375168,1.929,79.96,42.28,32.91,55791.0,75838.0,0.36920409224900297,0.6101891581555569,0.4897
동대문구,366923,72779,19.83,8,458663.7,10.396852889954298,33.87774390526309,16.318467472150335,46.941139673917384,1.099,6.3,30.62,23.48,60903.0,65212.0,0.42829894225767295,0.48175500090650875,0.455
동작구,384281,76039,19.79,8,3083386.8,16.45084315414873,54.32892038701501,18.059435967922212,50.76052392044193,1.052,40.55,32.7,37.88,62307.0,63530.0,0.4445292179642795,0.46142503172780563,0.453
광진구,349117,62783,17.98,6,559544.5,5.67440478699365,22.312572214783525,8.458188284782011,31.2751353108237,0.956,8.91,22.82,16.64,57473.0,59220.0,0.3886480550257211,0.40933099655526684,0.399
마포구,369364,62150,16.83,9,2685112.7,10.197527238157942,32.367564036843724,13.746572124005919,40.35534733499073,1.448,43.2,26.61,22.17,53607.0,55812.0,0.34395699670539276,0.3681392397413428,0.356
서대문구,316832,62510,19.73,10,3321476.5999999996,8.433202159107509,33.21479168651866,18.46498301350664,51.474832669110306,1.6,53.14,33.01,24.78,50968.0,57238.0,0.3134500895901971,0.38537499244576057,0.3494
성동구,282714,53444,18.9,10,638640.9,11.309644943868074,36.60189152596424,14.40222134642175,39.63728885756182,1.871,11.95,25.24,25.29,45747.0,47400.0,0.253095196809433,0.26646522028162206,0.2598
금천구,237562,50658,21.32,15,57568.0,11.076990839888225,29.785660449613573,25.579029129913007,63.12561849629573,2.961,1.14,37.55,18.71,37700.0,45047.0,0.16007167215767876,0.23802501964102254,0.199
용산구,214984,40470,18.82,11,247177.0,2.660820557371912,12.322490651750941,18.565622904179254,59.40129570887922,2.718,6.11,40.84,9.66,32956.0,39393.0,0.10523091150800531,0.16968634797848553,0.1375
종로구,148813,30958,20.8,6,3907680.57,18.103253206901925,50.21738709626682,11.725558339219145,32.57839613792353,1.938,126.23,20.85,32.11,27328.0,25354.0,0.04017108837639443,0.0,0.0201
중구,128444,27623,21.51,3,2944497.1,7.162933956484974,27.69975681745627,13.646982647011482,36.94730493114922,1.086,106.6,23.3,20.54,23853.0,25644.0,0.0,0.0035051670997763946,0.0018
