"동별(1)",동별(2),동별(3),2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4
"동별(1)",동별(2),동별(3),전체인구,전체인구,전체인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구
"동별(1)",동별(2),동별(3),소계,남자,여자,소계,남자,여자,내국인,내국인,내국인,등록외국인,등록외국인,등록외국인
"동별(1)",동별(2),동별(3),소계,소계,소계,소계,소계,소계,소계,남자,여자,소계,남자,여자
"합계",소계,소계,9579177,4601282,4977895,1912751,847213,1065538,1900102,840473,1059629,12649,6740,5909
"합계",종로구,소계,148813,70635,78178,30958,13965,16993,30664,13814,16850,294,151,143
"합계",종로구,사직동,9139,4036,5103,1984,846,1138,1969,837,1132,15,9,6
"합계",종로구,삼청동,2353,1132,1221,641,281,360,615,268,347,26,13,13
"합계",종로구,부암동,9170,4273,4897,2046,893,1153,2037,888,1149,9,5,4
"합계",종로구,평창동,17270,7997,9273,4048,1785,2263,4026,1773,2253,22,12,10
"합계",종로구,무악동,7714,3526,4188,1602,671,931,1601,671,930,1,-,1
"합계",종로구,교남동,9589,4391,5198,1802,738,1064,1793,734,1059,9,4,5
"합계",종로구,가회동,3714,1733,1981,914,384,530,907,379,528,7,5,2
"합계",종로구,종로1.2.3.4가동,8628,4981,3647,1900,1166,734,1852,1139,713,48,27,21
"합계",종로구,종로5.6가동,6017,3104,2913,1145,585,560,1134,579,555,11,6,5
"합계",종로구,이화동,7607,3477,4130,1496,635,861,1489,633,856,7,2,5
"합계",종로구,창신1동,5394,2844,2550,1387,690,697,1363,678,685,24,12,12
"합계",종로구,창신2동,8456,4309,4147,2079,946,1133,2031,923,1108,48,23,25
"합계",종로구,창신3동,6354,3127,3227,1483,674,809,1478,671,807,5,3,2
"합계",종로구,숭인1동,6067,2930,3137,1390,597,793,1376,589,787,14,8,6
"합계",종로구,숭인2동,11439,5274,6165,1913,937,976,1890,927,963,23,10,13
"합계",종로구,청운효자동,11001,4973,6028,2288,943,1345,2275,936,1339,13,7,6
"합계",종로구,혜화동,18901,8528,10373,2840,1194,1646,2828,1189,1639,12,5,7
"합계",중구,소계,128444,61514,66930,27623,12307,15316,27157,12067,15090,466,240,226
"합계",중구,소공동,3520,1700,1820,344,168,176,289,137,152,55,31,24
"합계",중구,회현동,4775,2451,2324,1407,727,680,1326,683,643,81,44,37
"합계",중구,명동,3389,1495,1894,799,283,516,740,251,489,59,32,27
"합계",중구,필동,5293,2635,2658,973,446,527,965,442,523,8,4,4
"합계",중구,장충동,5427,2737,2690,967,441,526,950,431,519,17,10,7
"합계",중구,광희동,7055,3415,3640,1271,597,674,1230,575,655,41,22,19
"합계",중구,을지로동,3362,1771,1591,524,313,211,512,308,204,12,5,7
"합계",중구,신당동,8878,4258,4620,1774,824,950,1729,801,928,45,23,22
"합계",중구,다산동,13481,6493,6988,3223,1410,1813,3205,1402,1803,18,8,10
"합계",중구,약수동,15980,7343,8637,4400,1812,2588,4382,1803,2579,18,9,9
"합계",중구,청구동,10914,5080,5834,2705,1129,1576,2699,1127,1572,6,2,4
"합계",중구,신당5동,10284,4947,5337,2131,931,1200,2116,924,1192,15,7,8
"합계",중구,동화동,9871,4715,5156,2377,1077,1300,2363,1070,1293,14,7,7
"합계",중구,황학동,14012,6519,7493,2407,1078,1329,2351,1049,1302,56,29,27
"합계",중구,중림동,12203,5955,6248,2321,1071,1250,2300,1064,1236,21,7,14
"합계",용산구,소계,214984,102809,112175,40470,17916,22554,39913,17606,22307,557,310,247
"합계",용산구,후암동,16108,7707,8401,3340,1404,1936,3302,1384,1918,38,20,18
"합계",용산구,용산2가동,9879,4832,5047,2180,927,1253,2137,902,1235,43,25,18
"합계",용산구,남영동,7496,4459,3037,1705,1052,653,1678,1042,636,27,10,17
"합계",용산구,원효로2동,13523,6285,7238,2622,1146,1476,2617,1143,1474,5,3,2
"합계",용산구,효창동,10553,4944,5609,1727,728,999,1724,726,998,3,2,1
"합계",용산구,용문동,11168,5242,5926,2436,1013,1423,2430,1009,1421,6,4,2
"합계",용산구,이촌1동,25395,11961,13434,4767,2106,2661,4721,2074,2647,46,32,14
"합계",용산구,이촌2동,7783,3647,4136,1930,818,1112,1924,813,1111,6,5,1
"합계",용산구,이태원1동,7343,3815,3528,1504,666,838,1456,637,819,48,29,19
"합계",용산구,이태원2동,9898,4717,5181,1863,785,1078,1814,753,1061,49,32,17
"합계",용산구,서빙고동,12791,6154,6637,2413,1063,1350,2380,1041,1339,33,22,11
"합계",용산구,보광동,7547,3925,3622,1724,694,1030,1704,686,1018,20,8,12
"합계",용산구,청파동,19576,8819,10757,3618,1543,2075,3586,1531,2055,32,12,20
"합계",용산구,원효로1동,17755,8152,9603,2276,1025,1251,2243,1006,1237,33,19,14
"합계",용산구,한강로동,22624,10745,11879,3570,1696,1874,3472,1649,1823,98,47,51
"합계",용산구,한남동,15545,7405,8140,2795,1250,1545,2725,1210,1515,70,40,30
"합계",성동구,소계,282714,135940,146774,53444,23722,29722,53232,23600,29632,212,122,90
"합계",성동구,왕십리2동,16125,7660,8465,2984,1312,1672,2972,1303,1669,12,9,3
"합계",성동구,마장동,22451,10757,11694,4514,2042,2472,4497,2031,2466,17,11,6
"합계",성동구,사근동,14130,7082,7048,1646,707,939,1642,704,938,4,3,1
"합계",성동구,행당1동,15779,7427,8352,2669,1185,1484,2661,1183,1478,8,2,6
"합계",성동구,행당2동,22502,10450,12052,4457,1889,2568,4453,1886,2567,4,3,1
"합계",성동구,응봉동,14515,6881,7634,2697,1150,1547,2695,1148,1547,2,2,-
"합계",성동구,금호1가동,14356,6793,7563,3070,1284,1786,3066,1282,1784,4,2,2
"합계",성동구,금호4가동,14047,6600,7447,2883,1174,1709,2873,1171,1702,10,3,7
