구명,점수_노인_경사X,점수_노인_경사O,점수_보행보조_경사X,점수_보행보조_경사O,점수_하위15_경사X,점수_하위15_경사O,slope,infra_base
종로구,75.3,32.8,40.4,17.6,24.3,10.6,0.3396,75.3
중구,77.8,43.2,50.3,27.9,33.5,18.6,0.2547,77.8
용산구,77.6,48.4,49.5,30.9,31.5,19.6,0.2104,77.6
성동구,72.9,49.2,44.8,30.2,26.1,17.6,0.1786,72.9
광진구,78.5,59.6,52.0,39.5,34.2,26.0,0.1284,78.5
동대문구,75.7,58.9,49.4,38.4,32.0,24.9,0.1182,75.7
중랑구,80.2,44.7,53.5,29.8,34.8,19.4,0.2531,80.2
성북구,77.1,39.5,45.1,23.1,27.5,14.1,0.2839,77.1
강북구,79.9,41.2,53.2,27.5,34.1,17.6,0.2816,79.9
도봉구,75.5,50.0,47.4,31.4,32.5,21.5,0.1859,75.5
노원구,76.2,47.5,48.9,30.5,31.8,19.8,0.2108,76.2
은평구,82.9,37.8,51.7,23.6,34.1,15.6,0.3245,82.9
서대문구,75.7,35.1,46.7,21.6,27.9,12.9,0.3192,75.7
마포구,79.9,58.2,52.7,38.4,36.5,26.6,0.1468,79.9
양천구,78.8,61.9,48.7,38.2,29.1,22.9,0.1138,78.8
강서구,80.1,59.2,50.6,37.4,32.3,23.9,0.1403,80.1
구로구,78.9,55.7,51.3,36.2,34.8,24.6,0.1599,78.9
금천구,81.3,42.7,59.4,31.2,39.1,20.6,0.2749,81.3
영등포구,77.5,67.0,46.1,39.9,31.3,27.1,0.07,77.5
동작구,78.1,44.8,50.6,29.0,34.2,19.6,0.2427,78.1
관악구,74.8,34.2,46.1,21.1,28.5,13.0,0.3237,74.8
서초구,75.6,48.6,45.8,29.5,30.5,19.6,0.1979,75.6
강남구,76.4,52.3,47.6,32.6,32.9,22.5,0.1726,76.4
송파구,78.9,66.6,51.7,43.7,35.2,29.7,0.081,78.9
강동구,83.3,67.1,61.1,49.2,42.3,34.1,0.1023,83.3
