dong_code,dong_name,gu_name,lon,lat,n_young,n_aid,loss_pct
11010530,사직동,종로구,126.97037619175316,37.57388840525493,4699,2611,44.43
11010540,삼청동,종로구,126.9812055076861,37.58836398163185,2685,835,68.9
11010550,부암동,종로구,126.9635444453256,37.59696151000142,1262,502,60.22
11010560,평창동,종로구,126.96812530181217,37.61568673941523,501,267,46.71
11010570,무악동,종로구,126.95858593486159,37.57711070122111,2750,951,65.42
11010580,교남동,종로구,126.9641181110356,37.571065066202124,4573,2053,55.11
11010600,가회동,종로구,126.98654713132122,37.58251439589775,3386,1251,63.05
11010610,종로1·2·3·4가동,종로구,126.98986485053628,37.57518528813235,5650,2538,55.08
11010630,종로5·6가동,종로구,127.00439894623688,37.5728578074154,6074,2835,53.33
11010640,이화동,종로구,127.00302254037224,37.5797204470763,4702,2105,55.23
11010670,창신1동,종로구,127.01380357602432,37.57236944314417,6459,3118,51.73
11010680,창신2동,종로구,127.01018843883445,37.5760273446602,5258,2117,59.74
11010690,창신3동,종로구,127.01322200089639,37.57895402989708,5049,1913,62.11
11010700,숭인1동,종로구,127.0168909772371,37.57718300178883,5664,2281,59.73
11010710,숭인2동,종로구,127.02034256684647,37.574490326567336,6731,2942,56.29
11010720,청운효자동,종로구,126.96991651604964,37.58441438593664,2988,1492,50.07
11010730,혜화동,종로구,126.99742971018773,37.587470764837086,3032,1439,52.54
11020520,소공동,중구,126.97437465855587,37.564259492006414,6332,2547,59.78
11020540,회현동,중구,126.97710183280635,37.556941148458606,5060,2169,57.13
11020550,명동,중구,126.9843038782097,37.5639520995905,5703,2958,48.13
11020570,필동,중구,126.99377114942307,37.55686556464432,4047,1709,57.77
11020580,장충동,중구,127.00216590259735,37.555562422232775,3800,1577,58.5
11020590,광희동,중구,127.00376431261691,37.565156624587694,5975,3281,45.09
11020600,을지로동,중구,126.99656119705608,37.56662083276557,5892,3149,46.55
11020650,신당5동,중구,127.02186697405546,37.56363543799006,6143,2986,51.39
11020670,황학동,중구,127.02084551335268,37.56853540383971,6380,3226,49.44
11020680,중림동,중구,126.96603675492,37.55734687556798,5547,2329,58.01
11020690,신당동,중구,127.01370442509965,37.56569210595639,6398,3288,48.61
11020700,다산동,중구,127.00835540729572,37.55493363005261,4067,1551,61.86
11020710,약수동,중구,127.01028775631967,37.550149165040075,2638,1047,60.31
11020720,청구동,중구,127.0151881057277,37.556881545264034,4724,2012,57.41
11020730,동화동,중구,127.01865207211195,37.56071035196909,5820,2625,54.9
11030510,후암동,용산구,126.98061491206381,37.549906051008215,3705,1357,63.37
11030520,용산2가동,용산구,126.98508626191605,37.537884202696645,3321,1607,51.61
11030530,남영동,용산구,126.9748281375962,37.54403014434265,1765,517,70.71
11030570,원효로2동,용산구,126.95246013795605,37.53385298903413,3190,1311,58.9
11030580,효창동,용산구,126.9609438575728,37.542812262028285,5185,2344,54.79
11030590,용문동,용산구,126.95851291153744,37.537978945760585,4665,2042,56.23
11030630,이촌1동,용산구,126.97175816894628,37.515173197406796,782,336,57.03
