"동별(1)",동별(2),동별(3),2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
"동별(1)",동별(2),동별(3),금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관
"동별(1)",동별(2),동별(3),소계,한국은행,시중은행,시중은행,시중은행,시중은행,시중은행,시중은행,지방은행,특수은행,특수은행,특수은행,특수은행,기타,기타
"동별(1)",동별(2),동별(3),소계,소계,우리은행,SC제일은행,KB국민은행,신한은행,한국씨티은행,KEB하나은행,소계,IBK기업은행,NH농협은행,수협은행,KDB산업은행,한국수출입은행,외국은행
"합계",소계,소계,1610,2,265,70,291,251,3,244,38,185,150,58,18,2,33
"합계",종로구,소계,91,-,13,5,15,11,2,13,-,7,14,1,1,-,9
"합계",종로구,청운효자동,3,-,1,-,-,1,-,-,-,-,1,-,-,-,-
"합계",종로구,사직동,17,-,1,-,2,1,2,4,-,1,5,-,-,-,1
"합계",종로구,삼청동,2,-,-,-,-,-,-,1,-,-,1,-,-,-,-
"합계",종로구,부암동,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",종로구,평창동,2,-,1,-,-,-,-,1,-,-,-,-,-,-,-
"합계",종로구,무악동,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
"합계",종로구,교남동,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",종로구,가회동,4,-,1,-,-,2,-,1,-,-,-,-,-,-,-
"합계",종로구,종로1.2.3.4가동,39,-,4,4,8,3,-,3,-,3,5,-,1,-,8
"합계",종로구,종로5.6가동,6,-,1,-,-,1,-,2,-,1,-,1,-,-,-
"합계",종로구,이화동,5,-,-,-,2,1,-,-,-,1,1,-,-,-,-
"합계",종로구,혜화동,4,-,2,-,-,1,-,1,-,-,-,-,-,-,-
"합계",종로구,창신1동,3,-,-,1,1,1,-,-,-,-,-,-,-,-,-
"합계",종로구,창신2동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
"합계",종로구,창신3동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",종로구,숭인1동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",종로구,숭인2동,2,-,1,-,-,-,-,-,-,-,1,-,-,-,-
"합계",중구,소계,149,1,23,3,15,31,-,15,7,14,13,6,1,-,20
"합계",중구,소공동,29,1,2,1,2,11,-,2,2,1,3,-,1,-,3
"합계",중구,회현동,17,-,4,1,1,1,-,2,-,2,3,-,-,-,3
"합계",중구,명동,55,-,6,-,6,9,-,5,4,5,3,3,-,-,14
"합계",중구,필동,8,-,1,-,1,4,-,1,-,-,1,-,-,-,-
"합계",중구,장충동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",중구,광희동,13,-,3,-,2,1,-,2,1,2,1,1,-,-,-
"합계",중구,을지로동,9,-,2,1,1,2,-,1,-,1,1,-,-,-,-
"합계",중구,신당동,5,-,1,-,1,1,-,-,-,-,-,2,-,-,-
"합계",중구,다산동,3,-,1,-,1,-,-,1,-,-,-,-,-,-,-
"합계",중구,약수동,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-
"합계",중구,청구동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",중구,신당5동,3,-,-,-,-,1,-,1,-,-,1,-,-,-,-
"합계",중구,동화동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",중구,황학동,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-
"합계",중구,중림동,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,소계,51,-,8,2,9,8,-,9,-,8,6,1,-,-,-
"합계",용산구,후암동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,용산2가동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,남영동,5,-,1,-,1,-,-,1,-,1,1,-,-,-,-
"합계",용산구,청파동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",용산구,원효로1동,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"합계",용산구,원효로2동,3,-,1,-,-,1,-,-,-,1,-,-,-,-,-
"합계",용산구,효창동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,용문동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,한강로동,16,-,3,1,2,1,-,4,-,1,3,1,-,-,-
"합계",용산구,이촌1동,8,-,1,1,2,2,-,1,-,1,-,-,-,-,-
"합계",용산구,이촌2동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
