연번,시도명,시군구명,소재지지번주소,횡단보도관리번호,횡단보도종류,고원식횡단보도유무,경도,위도,보행등유무,음향신호기설치여부,보행자작동신호기유무,데이터기준일자
1,서울특별시,강남구,강남구 개포동 12 대,06-0000029759,이단(화살표있음),N,37.49311183,127.0758395,N,N,N,2026-03-20
2,서울특별시,강남구,강남구 개포동 12 대,06-0000029761,일단(화살표없음),N,37.49354651,127.0742674,N,N,N,2026-03-20
3,서울특별시,강남구,강남구 개포동 12 대,06-0000029760,일단(화살표없음),N,37.49338912,127.0747546,N,N,N,2026-03-20
4,서울특별시,강남구,강남구 개포동 1280 대,06-0000047267,일단(화살표없음),N,37.4804102,127.0635863,Y,Y,N,2026-03-20
5,서울특별시,강남구,강남구 개포동 1280-1 도,06-0000007851,일단(화살표없음),N,37.48245503,127.0623663,N,N,N,2026-03-20
6,서울특별시,강남구,강남구 개포동 1281-2 도,06-0000024101,일단(화살표없음),Y,37.48503439,127.0660368,N,N,N,2026-03-20
7,서울특별시,강남구,강남구 개포동 14-4 대,06-0000007682,일단(화살표없음),N,37.49367851,127.0776145,N,N,N,2026-03-20
8,서울특별시,강남구,강남구 개포동 14-8 도,06-0000007679,이단(화살표있음),N,37.49391691,127.0769997,N,N,N,2026-03-20
9,서울특별시,강남구,강남구 개포동 14-8 도,06-0000028128,일단(화살표없음),N,37.49408983,127.0773201,N,N,N,2026-03-20
10,서울특별시,강남구,강남구 개포동 14-8 도,06-0000028127,이단(화살표있음),N,37.49542144,127.0779567,N,N,N,2026-03-20
11,서울특별시,강남구,강남구 개포동 14-8 도,06-0000022779,이단(화살표있음),N,37.49307271,127.0760846,N,N,N,2026-03-20
12,서울특별시,강남구,강남구 개포동 14-8 도,06-0000021577,이단(화살표있음),N,37.4942602,127.0773804,N,N,N,2026-03-20
13,서울특별시,강남구,강남구 개포동 14-8 도,06-0000008703,이단(화살표있음),N,37.49373142,127.0794857,Y,Y,N,2026-03-20
14,서울특별시,강남구,강남구 개포동 14-8 도,06-0000008701,이단(화살표있음),N,37.49469919,127.0790372,N,N,N,2026-03-20
15,서울특별시,강남구,강남구 개포동 14-8 도,06-0000008700,이단(화살표있음),N,37.49473829,127.0785124,N,N,N,2026-03-20
16,서울특별시,강남구,강남구 개포동 14-8 도,06-0000008699,이단(화살표있음),N,37.49494818,127.078199,N,N,N,2026-03-20
17,서울특별시,강남구,강남구 개포동 14-8 도,06-0000009179,이단(화살표있음),N,37.49268003,127.0761591,Y,Y,N,2026-03-20
18,서울특별시,강남구,강남구 개포동 14-8 도,06-0000034564,이단(화살표있음),N,37.4965619,127.0773911,N,N,N,2026-03-20
19,서울특별시,강남구,강남구 개포동 14-8 도,06-0000034563,일단(화살표없음),N,37.4949317,127.0790292,N,N,N,2026-03-20
20,서울특별시,강남구,강남구 개포동 14-8 도,06-0000029758,일단(화살표없음),Y,37.49294829,127.0759052,N,N,N,2026-03-20
21,서울특별시,강남구,강남구 개포동 146-1 도,06-0000033675,이단(화살표없음),N,37.47903276,127.0645969,Y,Y,N,2026-03-20
22,서울특별시,강남구,강남구 개포동 146-1 도,06-0000033673,이단(화살표있음),N,37.47937229,127.0651637,Y,Y,N,2026-03-20
23,서울특별시,강남구,강남구 개포동 146-1 도,06-0000033671,일단(화살표없음),N,37.47932875,127.0645939,Y,Y,N,2026-03-20
24,서울특별시,강남구,강남구 개포동 146-2 도,06-0000048987,이단(화살표없음),N,37.48262914,127.0705036,Y,N,N,2026-03-20
25,서울특별시,강남구,강남구 개포동 146-2 도,06-0000048972,이단(화살표없음),N,37.48261499,127.0701276,Y,N,N,2026-03-20
26,서울특별시,강남구,강남구 개포동 146-5 도,06-0000008480,이단(화살표있음),N,37.48595753,127.0753084,Y,Y,N,2026-03-20
27,서울특별시,강남구,강남구 개포동 146-5 도,06-0000008477,이단(화살표있음),N,37.48616756,127.0750951,N,N,N,2026-03-20
28,서울특별시,강남구,강남구 개포동 147 도,06-0000008143,일단(화살표없음),N,37.48342976,127.0635771,N,N,N,2026-03-20
29,서울특별시,강남구,강남구 개포동 147 도,06-0000007853,일단(화살표없음),N,37.48258889,127.0624038,Y,Y,N,2026-03-20
30,서울특별시,강남구,강남구 개포동 147 도,06-0000007699,이단(화살표있음),N,37.4850344,127.0658556,Y,Y,N,2026-03-20
31,서울특별시,강남구,강남구 개포동 147 도,06-0000007698,이단(화살표있음),Y,37.48518624,127.0660668,Y,Y,N,2026-03-20
32,서울특별시,강남구,강남구 개포동 147 도,06-0000007690,이단(화살표있음),N,37.48594257,127.067311,Y,Y,N,2026-03-20
33,서울특별시,강남구,강남구 개포동 147 도,06-0000007844,이단(화살표있음),N,37.48199554,127.0615862,Y,Y,N,2026-03-20
34,서울특별시,강남구,강남구 개포동 155-4 도,06-0000019373,일단(화살표없음),N,37.48717602,127.0620608,N,N,N,2026-03-20
35,서울특별시,강남구,강남구 개포동 155-4 도,06-0000023075,일단(화살표없음),Y,37.48693012,127.0619045,N,N,N,2026-03-20
36,서울특별시,강남구,강남구 개포동 155-4 도,06-0000019374,일단(화살표없음),N,37.48716964,127.0622527,N,N,N,2026-03-20
37,서울특별시,강남구,강남구 개포동 156-3 도,06-0000038668,일단(화살표있음),N,37.48386339,127.0592821,N,N,N,2026-03-20
38,서울특별시,강남구,강남구 개포동 181-1 도,06-0000009157,이단(화살표있음),N,37.48855457,127.0645027,Y,Y,N,2026-03-20
39,서울특별시,강남구,강남구 개포동 181-1 도,06-0000019645,이단(화살표있음),N,37.48897157,127.0657699,Y,Y,N,2026-03-20
40,서울특별시,강남구,강남구 개포동 181-1 도,06-0000008146,이단(화살표있음),N,37.48506793,127.0582809,Y,Y,N,2026-03-20
41,서울특별시,강남구,강남구 개포동 181-1 도,06-0000009155,일단(화살표없음),N,37.48782399,127.0628904,N,N,N,2026-03-20
42,서울특별시,강남구,강남구 개포동 181-1 도,06-0000008145,이단(화살표있음),N,37.48732828,127.0621282,Y,Y,N,2026-03-20
43,서울특별시,강남구,강남구 개포동 181-1 도,06-0000008144,일단(화살표없음),N,37.48735252,127.0619449,N,N,N,2026-03-20
44,서울특별시,강남구,강남구 개포동 185 대,06-0000029783,일단(화살표없음),N,37.48953032,127.0711559,N,N,N,2026-03-20
45,서울특별시,강남구,강남구 개포동 185 대,06-0000008476,이단(화살표있음),N,37.48768809,127.0731133,Y,Y,N,2026-03-20
46,서울특별시,강남구,강남구 개포동 185 대,06-0000029784,일단(화살표있음),N,37.48936235,127.0712431,N,N,N,2026-03-20
47,서울특별시,강남구,강남구 개포동 185 대,06-0000008574,일단(화살표있음),N,37.48836955,127.071845,N,N,N,2026-03-20
48,서울특별시,강남구,강남구 개포동 185 대,06-0000029787,일단(화살표있음),N,37.48821883,127.0720212,N,N,N,2026-03-20
49,서울특별시,강남구,강남구 개포동 185 대,06-0000029786,일단(화살표있음),N,37.48783095,127.0726757,N,N,N,2026-03-20
